t,C(t)
7.236180782318115234e+00,1.263608969748020172e-02
7.286432266235351562e+00,1.272623240947723389e-02
7.336683273315429688e+00,1.281836628913879395e-02
7.386934757232666016e+00,1.291223894804716110e-02
7.437185764312744141e+00,1.300761289894580841e-02
7.487437248229980469e+00,1.310426648706197739e-02
7.537688255310058594e+00,1.320200040936470032e-02
7.587939739227294922e+00,1.330065634101629257e-02
7.638190746307373047e+00,1.340015605092048645e-02
7.688442230224609375e+00,1.350047439336776733e-02
7.738693237304687500e+00,1.360162906348705292e-02
7.788944721221923828e+00,1.370373740792274475e-02
7.839195728302001953e+00,1.380693633109331131e-02
7.889447212219238281e+00,1.391142886132001877e-02
7.939698696136474609e+00,1.401742268353700638e-02
7.989949703216552734e+00,1.412513758987188339e-02
8.040201187133789062e+00,1.423477288335561752e-02
8.090452194213867188e+00,1.434648223221302032e-02
8.140703201293945312e+00,1.446038112044334412e-02
8.190955162048339844e+00,1.457650028169155121e-02
8.241206169128417969e+00,1.469480805099010468e-02
8.291457176208496094e+00,1.481516659259796143e-02
8.341708183288574219e+00,1.493738219141960144e-02
8.391960144042968750e+00,1.506116706877946854e-02
8.442211151123046875e+00,1.518619898706674576e-02
8.492462158203125000e+00,1.531208399683237076e-02
8.542713165283203125e+00,1.543842442333698273e-02
8.592965126037597656e+00,1.556482911109924316e-02
8.643216133117675781e+00,1.569090969860553741e-02
8.693467140197753906e+00,1.581633649766445160e-02
8.743718147277832031e+00,1.594083197414875031e-02
8.793970108032226562e+00,1.606420800089836121e-02
8.844221115112304688e+00,1.618633978068828583e-02
8.894472122192382812e+00,1.630720868706703186e-02
8.944724082946777344e+00,1.642687432467937469e-02
8.994975090026855469e+00,1.654549688100814819e-02
9.045226097106933594e+00,1.666329614818096161e-02
9.095477104187011719e+00,1.678058691322803497e-02
9.145729064941406250e+00,1.689771562814712524e-02
9.195980072021484375e+00,1.701507717370986938e-02
9.246231079101562500e+00,1.713308319449424744e-02
9.296482086181640625e+00,1.725215837359428406e-02
9.346734046936035156e+00,1.737269759178161621e-02
9.396985054016113281e+00,1.749506220221519470e-02
9.447236061096191406e+00,1.761955767869949341e-02
9.497487068176269531e+00,1.774642057716846466e-02
9.547739028930664062e+00,1.787578500807285309e-02
9.597990036010742188e+00,1.800769381225109100e-02
9.648241043090820312e+00,1.814208738505840302e-02
9.698492050170898438e+00,1.827878877520561218e-02
9.748744010925292969e+00,1.841751486063003540e-02
9.798995018005371094e+00,1.855787076056003571e-02
9.849246025085449219e+00,1.869938895106315613e-02
9.899497032165527344e+00,1.884151436388492584e-02
9.949748992919921875e+00,1.898364722728729248e-02
1.000000000000000000e+01,1.912514679133892059e-02
