step,loss,raw_loss,range_loss,gue_loss,loggas_loss,rigidity_loss,trace_proxy_loss,smooth_loss,eig_range
0,736.0859375,732.0335693359375,0.7707619071006775,0.002285247202962637,0.09147326648235321,0.4705806374549866,0.08350595086812973,0.00020877679344266653,112.43379211425781
1,732.580810546875,728.544921875,0.7674726843833923,0.002285247202962637,0.09147336333990097,0.4705830216407776,0.08350595086812973,0.0002087770408252254,112.32151794433594
2,729.0816040039062,725.0621337890625,0.7641896605491638,0.002285247202962637,0.09147325903177261,0.4705795347690582,0.08350595086812973,0.0002087772882077843,112.20921325683594
3,725.5963134765625,721.5932006835938,0.7609168887138367,0.002285247202962637,0.09147327393293381,0.47057920694351196,0.08350595086812973,0.00020877753559034318,112.0970230102539
4,722.12548828125,718.138671875,0.7576563358306885,0.002285247202962637,0.09147325158119202,0.4705812633037567,0.08350595086812973,0.00020877778297290206,111.9850082397461
5,718.6640625,714.6934814453125,0.7544066309928894,0.002285247202962637,0.09147321432828903,0.4705834984779358,0.08350592851638794,0.00020877803035546094,111.87312316894531
6,715.2174682617188,711.2631225585938,0.7511638402938843,0.002285247202962637,0.09147325158119202,0.47058311104774475,0.08350592851638794,0.00020877827773801982,111.76123809814453
7,711.7779541015625,707.8397216796875,0.7479341626167297,0.002285247202962637,0.09147331118583679,0.4705808460712433,0.08350592851638794,0.00020877855422440916,111.64956665039062
8,708.3538818359375,704.4317626953125,0.7447147369384766,0.002285247202962637,0.09147336333990097,0.4705811142921448,0.08350592851638794,0.00020877881615888327,111.53800964355469
9,704.9411010742188,701.0350341796875,0.7415056824684143,0.002285247202962637,0.09147324413061142,0.47058096528053284,0.08350592851638794,0.00020877906354144216,111.42656707763672
10,701.5366821289062,697.6466064453125,0.7383038401603699,0.002285247202962637,0.09147317707538605,0.4705806374549866,0.08350591361522675,0.00020877931092400104,111.31513977050781
11,698.145263671875,694.2711181640625,0.7351143956184387,0.002285247202962637,0.09147325158119202,0.4705806076526642,0.08350591361522675,0.00020877958741039038,111.20390319824219
12,694.768310546875,690.9100952148438,0.7319355010986328,0.002285247202962637,0.09147327393293381,0.47058165073394775,0.08350591361522675,0.0002087798493448645,111.09278869628906
13,691.4004516601562,687.5580444335938,0.7287660241127014,0.002285247202962637,0.09147320687770844,0.4705774188041687,0.08350591361522675,0.00020878009672742337,110.98176574707031
14,688.0437622070312,684.2171630859375,0.7256063222885132,0.002285247202962637,0.09147344529628754,0.4705859124660492,0.08350591361522675,0.00020878035866189748,110.870849609375
15,684.696533203125,680.8856811523438,0.722456693649292,0.002285247202962637,0.09147318452596664,0.47058331966400146,0.08350591361522675,0.00020878063514828682,110.76004028320312
16,681.36474609375,677.569580078125,0.7193183898925781,0.002285247202962637,0.09147308021783829,0.47057777643203735,0.08350589871406555,0.0002087809261865914,110.6493911743164
17,678.0432739257812,674.2637939453125,0.7161877751350403,0.002285247202962637,0.09147323668003082,0.47058388590812683,0.08350589871406555,0.00020878121722489595,110.53877258300781
18,674.7310791015625,670.9672241210938,0.713066816329956,0.002285247202962637,0.09147315472364426,0.4705801010131836,0.08350589871406555,0.00020878147915937006,110.42825317382812
19,671.431884765625,667.6835327148438,0.7099569439888,0.002285247202962637,0.09147324413061142,0.4705810248851776,0.08350589871406555,0.00020878177019767463,110.31788635253906
20,668.14404296875,664.4111938476562,0.7068580985069275,0.002285247202962637,0.09147344529628754,0.47058501839637756,0.08350589871406555,0.0002087820612359792,110.20767211914062
21,664.8649291992188,661.1475219726562,0.7037686705589294,0.002285247202962637,0.09147296100854874,0.4705761969089508,0.08350587636232376,0.00020878235227428377,110.09754943847656
22,661.6011962890625,657.8992309570312,0.7006877660751343,0.002285247202962637,0.09147335588932037,0.4705865979194641,0.08350587636232376,0.00020878265786450356,109.98748779296875
23,658.34619140625,654.6595458984375,0.697616696357727,0.002285247202962637,0.09147322922945023,0.47058093547821045,0.08350587636232376,0.00020878294890280813,109.8775405883789
24,655.1032104492188,651.431884765625,0.69455885887146,0.002285247202962637,0.09147336333990097,0.47058701515197754,0.08350587636232376,0.00020878325449302793,109.767822265625
25,651.8687744140625,648.2127075195312,0.6915033459663391,0.002285247202962637,0.09147319942712784,0.470579594373703,0.08350587636232376,0.00020878358918707818,109.65795135498047
