t,C(t)
4.623115539550781250e+00,1.330789923667907715e+00
4.673367023468017578e+00,1.327476382255554199e+00
4.723618030548095703e+00,1.327624082565307617e+00
4.773869514465332031e+00,1.326119899749755859e+00
4.824120521545410156e+00,1.326254010200500488e+00
4.874372005462646484e+00,1.330579757690429688e+00
4.924623012542724609e+00,1.328606486320495605e+00
4.974874496459960938e+00,1.325710296630859375e+00
5.025125503540039062e+00,1.321901082992553711e+00
5.075376987457275391e+00,1.329533815383911133e+00
5.125627994537353516e+00,1.330178737640380859e+00
5.175879478454589844e+00,1.335617899894714355e+00
5.226130485534667969e+00,1.335851669311523438e+00
5.276381969451904297e+00,1.336037755012512207e+00
5.326632976531982422e+00,1.331401944160461426e+00
5.376884460449218750e+00,1.337819218635559082e+00
5.427135467529296875e+00,1.334947824478149414e+00
5.477386951446533203e+00,1.335947036743164062e+00
5.527637958526611328e+00,1.337424993515014648e+00
5.577889442443847656e+00,1.338669776916503906e+00
5.628140449523925781e+00,1.338710069656372070e+00
5.678391933441162109e+00,1.329923748970031738e+00
5.728643417358398438e+00,1.331154465675354004e+00
5.778894424438476562e+00,1.335250735282897949e+00
5.829145908355712891e+00,1.329010963439941406e+00
5.879396915435791016e+00,1.325516700744628906e+00
5.929648399353027344e+00,1.323241710662841797e+00
5.979899406433105469e+00,1.328194737434387207e+00
6.030150890350341797e+00,1.330488324165344238e+00
6.080401897430419922e+00,1.328013420104980469e+00
6.130653381347656250e+00,1.326770186424255371e+00
6.180904388427734375e+00,1.323398709297180176e+00
6.231155872344970703e+00,1.322922468185424805e+00
6.281406879425048828e+00,1.328964471817016602e+00
6.331658363342285156e+00,1.337161421775817871e+00
6.381909370422363281e+00,1.327001929283142090e+00
6.432160854339599609e+00,1.322387814521789551e+00
6.482411861419677734e+00,1.323464274406433105e+00
6.532663345336914062e+00,1.321068048477172852e+00
6.582914352416992188e+00,1.317938685417175293e+00
6.633165836334228516e+00,1.321622133255004883e+00
6.683416843414306641e+00,1.321264505386352539e+00
6.733668327331542969e+00,1.326919198036193848e+00
6.783919334411621094e+00,1.320043325424194336e+00
6.834170818328857422e+00,1.319531798362731934e+00
6.884422302246093750e+00,1.320275902748107910e+00
6.934673309326171875e+00,1.322015404701232910e+00
6.984924793243408203e+00,1.324478983879089355e+00
7.035175800323486328e+00,1.327489614486694336e+00
7.085427284240722656e+00,1.329299211502075195e+00
7.135678291320800781e+00,1.322130918502807617e+00
7.185929775238037109e+00,1.325849890708923340e+00
7.236180782318115234e+00,1.321502089500427246e+00
7.286432266235351562e+00,1.328074455261230469e+00
7.336683273315429688e+00,1.329195261001586914e+00
7.386934757232666016e+00,1.323609352111816406e+00
7.437185764312744141e+00,1.321088194847106934e+00
7.487437248229980469e+00,1.326068639755249023e+00
7.537688255310058594e+00,1.334724903106689453e+00
7.587939739227294922e+00,1.325329661369323730e+00
7.638190746307373047e+00,1.330175042152404785e+00
7.688442230224609375e+00,1.329241394996643066e+00
7.738693237304687500e+00,1.327363848686218262e+00
7.788944721221923828e+00,1.326112866401672363e+00
7.839195728302001953e+00,1.323837518692016602e+00
7.889447212219238281e+00,1.323508381843566895e+00
7.939698696136474609e+00,1.325581073760986328e+00
7.989949703216552734e+00,1.327146410942077637e+00
8.040201187133789062e+00,1.328751921653747559e+00
8.090452194213867188e+00,1.329141378402709961e+00
8.140703201293945312e+00,1.323553323745727539e+00
8.190955162048339844e+00,1.324866771697998047e+00
8.241206169128417969e+00,1.324987173080444336e+00
8.291457176208496094e+00,1.326148390769958496e+00
8.341708183288574219e+00,1.330827593803405762e+00
8.391960144042968750e+00,1.333068490028381348e+00
8.442211151123046875e+00,1.334958791732788086e+00
8.492462158203125000e+00,1.331590533256530762e+00
8.542713165283203125e+00,1.331348896026611328e+00
8.592965126037597656e+00,1.329173684120178223e+00
8.643216133117675781e+00,1.328338146209716797e+00
8.693467140197753906e+00,1.335347890853881836e+00
8.743718147277832031e+00,1.334715127944946289e+00
8.793970108032226562e+00,1.337900519371032715e+00
8.844221115112304688e+00,1.335465312004089355e+00
8.894472122192382812e+00,1.340275645256042480e+00
8.944724082946777344e+00,1.335249543190002441e+00
8.994975090026855469e+00,1.335662484169006348e+00
9.045226097106933594e+00,1.342291355133056641e+00
9.095477104187011719e+00,1.335571408271789551e+00
9.145729064941406250e+00,1.336175560951232910e+00
9.195980072021484375e+00,1.341602683067321777e+00
9.246231079101562500e+00,1.333715081214904785e+00
9.296482086181640625e+00,1.335162401199340820e+00
9.346734046936035156e+00,1.334354877471923828e+00
9.396985054016113281e+00,1.338464975357055664e+00
9.447236061096191406e+00,1.338864445686340332e+00
9.497487068176269531e+00,1.336847066879272461e+00
9.547739028930664062e+00,1.338812470436096191e+00
9.597990036010742188e+00,1.331597924232482910e+00
9.648241043090820312e+00,1.333081245422363281e+00
9.698492050170898438e+00,1.337008833885192871e+00
9.748744010925292969e+00,1.332693099975585938e+00
9.798995018005371094e+00,1.327113866806030273e+00
9.849246025085449219e+00,1.326863765716552734e+00
9.899497032165527344e+00,1.329334259033203125e+00
9.949748992919921875e+00,1.330304026603698730e+00
1.000000000000000000e+01,1.328803420066833496e+00
