update,mean_reward,best_reward,mean_length,valid_rate,primitive_rate,entropy,value_loss,policy_loss
1,3.2841150760650635,5.950788497924805,11.57885603758079,1.0,1.0,2.484894275665283,2.0326535999774933,-0.00010828021913766861
2,3.394392093707775,5.994208335876465,8.943897668093406,1.0,1.0,2.4848602414131165,1.7380829751491547,-0.00039141811430454254
3,3.611889203389486,5.994208335876465,12.012730432781808,1.0,1.0,2.484780788421631,1.7729314863681793,-0.0002178400754928589
