t,C(t)
5.025125503540039062e+00,1.327862024307250977e+00
5.075376987457275391e+00,1.329564809799194336e+00
5.125627994537353516e+00,1.330150485038757324e+00
5.175879478454589844e+00,1.331041455268859863e+00
5.226130485534667969e+00,1.330299973487854004e+00
5.276381969451904297e+00,1.332952499389648438e+00
5.326632976531982422e+00,1.330307006835937500e+00
5.376884460449218750e+00,1.330352902412414551e+00
5.427135467529296875e+00,1.330286026000976562e+00
5.477386951446533203e+00,1.331356525421142578e+00
5.527637958526611328e+00,1.333199143409729004e+00
5.577889442443847656e+00,1.333160161972045898e+00
5.628140449523925781e+00,1.325653195381164551e+00
5.678391933441162109e+00,1.323091387748718262e+00
5.728643417358398438e+00,1.327452659606933594e+00
5.778894424438476562e+00,1.330193519592285156e+00
5.829145908355712891e+00,1.327842950820922852e+00
5.879396915435791016e+00,1.325977087020874023e+00
5.929648399353027344e+00,1.324115514755249023e+00
5.979899406433105469e+00,1.325807452201843262e+00
6.030150890350341797e+00,1.327498912811279297e+00
6.080401897430419922e+00,1.325980782508850098e+00
6.130653381347656250e+00,1.323121547698974609e+00
6.180904388427734375e+00,1.323090434074401855e+00
6.231155872344970703e+00,1.325013518333435059e+00
6.281406879425048828e+00,1.322241902351379395e+00
6.331658363342285156e+00,1.323169946670532227e+00
6.381909370422363281e+00,1.324347734451293945e+00
6.432160854339599609e+00,1.326374650001525879e+00
6.482411861419677734e+00,1.324768662452697754e+00
6.532663345336914062e+00,1.325719952583312988e+00
6.582914352416992188e+00,1.327702999114990234e+00
6.633165836334228516e+00,1.330342888832092285e+00
6.683416843414306641e+00,1.326904296875000000e+00
6.733668327331542969e+00,1.325470685958862305e+00
6.783919334411621094e+00,1.323799729347229004e+00
6.834170818328857422e+00,1.325848340988159180e+00
6.884422302246093750e+00,1.327355146408081055e+00
6.934673309326171875e+00,1.326732277870178223e+00
6.984924793243408203e+00,1.324425816535949707e+00
7.035175800323486328e+00,1.323065876960754395e+00
7.085427284240722656e+00,1.325242996215820312e+00
7.135678291320800781e+00,1.326032638549804688e+00
7.185929775238037109e+00,1.331032037734985352e+00
7.236180782318115234e+00,1.329923987388610840e+00
7.286432266235351562e+00,1.331673622131347656e+00
7.336683273315429688e+00,1.329008102416992188e+00
7.386934757232666016e+00,1.329957365989685059e+00
7.437185764312744141e+00,1.329868197441101074e+00
7.487437248229980469e+00,1.331237077713012695e+00
7.537688255310058594e+00,1.332373142242431641e+00
7.587939739227294922e+00,1.328323721885681152e+00
7.638190746307373047e+00,1.329472661018371582e+00
7.688442230224609375e+00,1.331587314605712891e+00
7.738693237304687500e+00,1.331778883934020996e+00
7.788944721221923828e+00,1.327705860137939453e+00
7.839195728302001953e+00,1.328524112701416016e+00
7.889447212219238281e+00,1.328984498977661133e+00
7.939698696136474609e+00,1.327310442924499512e+00
7.989949703216552734e+00,1.327456235885620117e+00
8.040201187133789062e+00,1.328526496887207031e+00
8.090452194213867188e+00,1.327515006065368652e+00
8.140703201293945312e+00,1.324715018272399902e+00
8.190955162048339844e+00,1.324170827865600586e+00
8.241206169128417969e+00,1.324585795402526855e+00
8.291457176208496094e+00,1.327177882194519043e+00
8.341708183288574219e+00,1.330290317535400391e+00
8.391960144042968750e+00,1.329725503921508789e+00
8.442211151123046875e+00,1.326294660568237305e+00
8.492462158203125000e+00,1.330097198486328125e+00
8.542713165283203125e+00,1.329893231391906738e+00
8.592965126037597656e+00,1.328060865402221680e+00
8.643216133117675781e+00,1.328538656234741211e+00
8.693467140197753906e+00,1.325599670410156250e+00
8.743718147277832031e+00,1.325339317321777344e+00
8.793970108032226562e+00,1.324271559715270996e+00
