step,loss,raw_loss,range_loss,gue_loss,loggas_loss,rigidity_loss,trace_proxy_loss,smooth_loss,eig_range
0,2132.40087890625,2128.270263671875,0.7883818745613098,0.0009117473382502794,0.10171499848365784,0.3836212754249573,0.0851082131266594,0.00018752632604446262,182.55596923828125
1,2122.608642578125,2118.49462890625,0.7850353717803955,0.0009117473382502794,0.10171462595462799,0.3836115002632141,0.0851082131266594,0.00018752628238871694,182.37355041503906
2,2112.8486328125,2108.75146484375,0.781697690486908,0.0009117473382502794,0.10171490162611008,0.38361671566963196,0.0851082131266594,0.0001875262678368017,182.19122314453125
3,2103.11865234375,2099.0380859375,0.7783689498901367,0.0009117473382502794,0.10171505808830261,0.3836204409599304,0.0851082131266594,0.0001875262096291408,182.00900268554688
4,2093.42822265625,2089.3642578125,0.7750596404075623,0.0009117473382502794,0.10171494632959366,0.3836166560649872,0.0851082131266594,0.0001875261659733951,181.82745361328125
5,2083.765380859375,2079.718017578125,0.771746814250946,0.0009117473382502794,0.10171505808830261,0.3836164176464081,0.0851082131266594,0.00018752612231764942,181.64532470703125
6,2074.13232421875,2070.101318359375,0.7684580087661743,0.0009117473382502794,0.10171474516391754,0.3836129605770111,0.0851082131266594,0.00018752607866190374,181.46412658691406
7,2064.53369140625,2060.51904296875,0.7651690244674683,0.0009117473382502794,0.10171489417552948,0.3836153447628021,0.0851081907749176,0.00018752604955807328,181.28253173828125
8,2054.966552734375,2050.96826171875,0.7618942856788635,0.0009117473382502794,0.10171473026275635,0.383610337972641,0.0851081907749176,0.00018752599135041237,181.10133361816406
9,2045.4320068359375,2041.449951171875,0.7586330771446228,0.0009117473382502794,0.10171456634998322,0.3836088478565216,0.0851081907749176,0.00018752594769466668,180.92050170898438
10,2035.9254150390625,2031.959716796875,0.7553791999816895,0.0009117473382502794,0.1017148420214653,0.3836200535297394,0.0851081907749176,0.000187525904038921,180.73968505859375
11,2026.45556640625,2022.506103515625,0.7521350383758545,0.0009117473382502794,0.10171502083539963,0.3836197555065155,0.0851081907749176,0.00018752584583126009,180.55902099609375
12,2017.0137939453125,2013.0804443359375,0.7489010691642761,0.0009117473382502794,0.10171490907669067,0.3836173117160797,0.0851081907749176,0.00018752578762359917,180.3785400390625
13,2007.60693359375,2003.689697265625,0.745681881904602,0.0009117473382502794,0.10171493142843246,0.3836172819137573,0.0851081907749176,0.0001875257439678535,180.198486328125
14,1998.224609375,1994.323486328125,0.7424672842025757,0.0009117473382502794,0.10171493142843246,0.3836161196231842,0.0851081907749176,0.00018752567120827734,180.018310546875
15,1988.876953125,1984.9918212890625,0.7392623424530029,0.0009117473382502794,0.10171492397785187,0.38362181186676025,0.0851081907749176,0.00018752561300061643,179.83828735351562
16,1979.560302734375,1975.6910400390625,0.7360718250274658,0.0009117473382502794,0.10171478986740112,0.3836168348789215,0.08510817587375641,0.0001875255402410403,179.65867614746094
17,1970.2740478515625,1966.4207763671875,0.7328855991363525,0.0009117473382502794,0.10171499103307724,0.38361936807632446,0.08510817587375641,0.00018752546748146415,179.4789276123047
18,1961.0224609375,1957.18505859375,0.7297151684761047,0.0009117473382502794,0.10171496123075485,0.38362032175064087,0.08510817587375641,0.00018752538016997278,179.2996826171875
19,1951.794189453125,1947.9725341796875,0.7265543937683105,0.0009117473382502794,0.10171522200107574,0.38362836837768555,0.08510817587375641,0.00018752527830656618,179.12059020996094
20,1942.5975341796875,1938.791748046875,0.7233991026878357,0.0009117473382502794,0.1017148420214653,0.38361799716949463,0.08510817587375641,0.00018752520554699004,178.94142150878906
21,1933.4412841796875,1929.651123046875,0.7202568650245667,0.0009117473382502794,0.1017148420214653,0.38361528515815735,0.08510817587375641,0.00018752511823549867,178.76260375976562
22,1924.30517578125,1920.5306396484375,0.7171268463134766,0.0009117473382502794,0.10171482712030411,0.3836182951927185,0.08510817587375641,0.00018752500182017684,178.58409118652344
23,1915.2056884765625,1911.4468994140625,0.7139976620674133,0.0009117473382502794,0.10171462595462799,0.3836124837398529,0.08510817587375641,0.00018752489995677024,178.40524291992188
24,1906.1298828125,1902.3865966796875,0.7108862996101379,0.0009117473382502794,0.10171499103307724,0.38361841440200806,0.08510816097259521,0.00018752479809336364,178.22702026367188
25,1897.0933837890625,1893.3656005859375,0.70778489112854,0.0009117473382502794,0.10171456634998322,0.3836127519607544,0.08510816097259521,0.0001875246671261266,178.04898071289062
26,1888.0799560546875,1884.36767578125,0.7046940326690674,0.0009117473382502794,0.10171472281217575,0.38361549377441406,0.08510816097259521,0.00018752453615888953,177.87115478515625
27,1879.0977783203125,1875.40087890625,0.7016087770462036,0.0009117473382502794,0.10171476006507874,0.38361281156539917,0.08510816097259521,0.00018752440519165248,177.69326782226562
28,1870.1485595703125,1866.467041015625,0.6985380053520203,0.0009117473382502794,0.10171492397785187,0.38361790776252747,0.08510816097259521,0.00018752428877633065,177.5158233642578
29,1861.23291015625,1857.5667724609375,0.6954694986343384,0.0009117473382502794,0.10171481221914291,0.383614718914032,0.08510816097259521,0.00018752414325717837,177.33811950683594
30,1852.3388671875,1848.68798828125,0.6924161314964294,0.0009117473382502794,0.10171478986740112,0.3836129605770111,0.08510816097259521,0.00018752398318611085,177.16090393066406
31,1843.48046875,1839.8447265625,0.6893765926361084,0.0009117473382502794,0.10171452164649963,0.3836067020893097,0.08510816097259521,0.0001875238522188738,176.98410034179688
32,1834.64697265625,1831.0263671875,0.6863412857055664,0.0009117473382502794,0.10171455889940262,0.3836100697517395,0.08510813862085342,0.00018752367759589106,176.80715942382812
33,1825.8465576171875,1822.2412109375,0.6833128333091736,0.0009117473382502794,0.10171467065811157,0.3836086690425873,0.08510813862085342,0.00018752350297290832,176.63021850585938
34,1817.07763671875,1813.4873046875,0.6803018450737,0.0009117473382502794,0.10171480476856232,0.38361552357673645,0.08510813862085342,0.00018752332834992558,176.45391845703125
35,1808.3321533203125,1804.7568359375,0.6772960424423218,0.0009117473382502794,0.10171446949243546,0.3836071789264679,0.08510813862085342,0.00018752315372694284,176.27752685546875
36,1799.6207275390625,1796.0604248046875,0.674301028251648,0.0009117473382502794,0.10171455144882202,0.38360971212387085,0.08510813862085342,0.00018752296455204487,176.10137939453125
37,1790.9412841796875,1787.39599609375,0.6713151931762695,0.0009117473382502794,0.10171455889940262,0.38360539078712463,0.08510813862085342,0.0001875227753771469,175.92538452148438
38,1782.2861328125,1778.755615234375,0.6683376431465149,0.0009117473382502794,0.10171496123075485,0.38362061977386475,0.08510813862085342,0.00018752258620224893,175.74948120117188
39,1773.6624755859375,1770.1468505859375,0.6653650403022766,0.0009117473382502794,0.10171471536159515,0.3836142122745514,0.08510813862085342,0.00018752238247543573,175.573486328125
40,1765.0655517578125,1761.564697265625,0.6624099016189575,0.0009117473382502794,0.10171472281217575,0.38361436128616333,0.08510812371969223,0.00018752217874862254,175.39813232421875
41,1756.5052490234375,1753.01904296875,0.6594626307487488,0.0009117473382502794,0.10171469300985336,0.38361310958862305,0.08510812371969223,0.00018752194591797888,175.2228546142578
42,1747.96630859375,1744.494873046875,0.6565290689468384,0.0009117473382502794,0.10171449929475784,0.38360944390296936,0.08510812371969223,0.00018752174219116569,175.04800415039062
43,1739.4630126953125,1736.0062255859375,0.6535992622375488,0.0009117473382502794,0.10171465575695038,0.38361331820487976,0.08510812371969223,0.00018752152391243726,174.87298583984375
44,1730.9847412109375,1727.54248046875,0.6506783366203308,0.0009117473382502794,0.10171463340520859,0.38361555337905884,0.08510812371969223,0.0001875212910817936,174.69810485839844
45,1722.52783203125,1719.10009765625,0.6477668881416321,0.0009117473382502794,0.10171479731798172,0.38361966609954834,0.08510812371969223,0.00018752105825114995,174.52340698242188
46,1714.1114501953125,1710.6982421875,0.644866406917572,0.0009117473382502794,0.10171464085578918,0.3836119771003723,0.08510812371969223,0.0001875208254205063,174.34896850585938
