step,loss
196,96528.3828125
197,96536.2421875
198,96540.6640625
199,96547.7734375
200,96555.2890625
201,96562.0859375
202,96569.8828125
203,96575.6328125
204,96583.109375
205,96589.546875
206,96597.265625
207,96603.71875
208,96610.1171875
209,96617.5625
210,96623.765625
211,96629.03125
212,96634.734375
213,96640.09375
214,96647.515625
215,96655.484375
216,96663.5234375
217,96668.7890625
218,96675.0859375
219,96675.28125
220,96683.859375
221,96692.1953125
222,96692.9609375
223,96697.9609375
224,96705.1640625
225,96712.1328125
226,96717.625
227,96723.4296875
228,96731.59375
229,96738.2421875
230,96745.4296875
231,96752.578125
232,96758.96875
233,96767.5390625
234,96777.6640625
235,96786.109375
236,96794.890625
237,96802.640625
238,96809.984375
239,96818.421875
240,96825.5390625
241,96830.9375
242,96837.265625
243,96843.4765625
244,96848.25
245,96855.0
246,96860.234375
247,96864.8515625
248,96870.5234375
249,96877.734375
250,96883.5703125
251,96891.6796875
252,96896.859375
253,96904.078125
254,96912.5
255,96919.375
256,96926.671875
257,96930.484375
258,96937.21875
259,96944.578125
260,96952.3828125
261,96958.7578125
262,96965.96875
263,96976.40625
264,96985.0703125
265,96994.0078125
266,97003.4453125
267,97013.1953125
268,97021.84375
269,97034.203125
270,97043.2265625
271,97054.828125
272,97063.4609375
273,97072.7734375
274,97080.78125
275,97090.3671875
276,97098.7734375
277,97107.0859375
278,97113.3203125
279,97121.9609375
280,97127.703125
281,97134.0390625
282,97140.109375
283,97146.0
284,97151.1484375
285,97158.1875
286,97166.515625
287,97171.7734375
288,97177.0078125
289,97182.671875
290,97189.4296875
291,97196.3671875
292,97202.78125
293,97208.2421875
294,97214.2421875
295,97220.890625
296,97226.2734375
297,97231.625
298,97237.734375
299,97243.859375
300,97249.453125
301,97255.7578125
302,97262.9140625
303,97268.71875
304,97272.984375
305,97279.125
306,97285.40625
307,97291.0625
308,97294.0625
309,97299.8046875
310,97302.6875
311,97308.3828125
312,97314.3984375
313,97320.6328125
314,97326.34375
315,97331.7421875
316,97336.5078125
317,97342.21875
318,97347.6953125
319,97352.7890625
320,97357.40625
321,97361.34375
322,97365.4375
323,97368.1875
324,97371.640625
325,97374.09375
326,97375.671875
327,97378.40625
328,97381.1875
329,97384.6484375
330,97388.140625
331,97391.125
332,97394.1953125
333,97396.921875
334,97398.6171875
335,97400.234375
336,97402.0703125
337,97403.4921875
338,97405.453125
339,97407.078125
340,97408.6796875
341,97409.109375
342,97410.0234375
343,97409.6328125
344,97411.171875
345,97412.2265625
346,97412.5546875
347,97413.5
348,97414.125
349,97415.28125
350,97417.046875
351,97419.4453125
352,97422.03125
353,97424.34375
354,97425.6640625
355,97428.1328125
356,97430.5546875
357,97432.75
358,97436.0859375
359,97439.5078125
360,97443.171875
361,97448.015625
362,97451.3515625
363,97456.65625
364,97460.203125
365,97465.234375
366,97470.046875
367,97475.2734375
368,97480.625
369,97486.5546875
370,97492.7421875
371,97498.609375
372,97504.4921875
373,97510.578125
374,97516.828125
375,97523.4765625
376,97530.3046875
377,97538.3984375
378,97544.0703125
379,97550.2578125
380,97557.1953125
381,97564.0859375
382,97571.140625
383,97578.234375
384,97585.78125
385,97592.890625
386,97600.1796875
387,97607.3828125
388,97615.6171875
389,97623.6484375
390,97631.2734375
391,97639.1796875
392,97647.171875
393,97655.15625
394,97663.375
395,97671.75
396,97681.359375
397,97689.421875
398,97697.796875
399,97706.3828125
400,97714.7890625
401,97723.1484375
402,97731.375
403,97739.859375
404,97748.3203125
405,97756.140625
406,97764.625
407,97773.4453125
408,97782.234375
409,97791.078125
410,97799.6328125
411,97806.7421875
412,97815.625
413,97823.984375
414,97832.5
415,97840.65625
416,97849.3046875
417,97857.4140625
418,97865.7734375
