candidate_index,t,score
0,101.3178510057314,5.079157155471111
1,105.44662305232609,4.852710623031312
2,111.87465917699262,4.951079133242802
3,114.32022091545272,4.951521165904058
4,121.37012500242065,4.588756541691344
5,131.08768853093267,4.928184104087615
6,133.4977372029976,4.875307233251465
7,139.7362089521214,5.096669310936092
8,143.11184580762063,4.420981698966841
9,146.0009824867655,4.80128244326026
10,150.05352042078488,4.863383428546386
11,157.59759181759404,4.833608086662903
12,163.03070968718197,4.935153338401682
13,167.1844399781745,4.8538057339841885
14,174.7541915233657,4.887615341004261
15,178.37740777609997,5.014222405597928
16,184.8744678483875,5.040264083369104
17,189.41615865601693,4.885965708580916
18,193.0797266038457,4.438446601972395
19,196.87648184095832,4.93206713175149
20,204.18967180310455,4.878772893513517
21,209.57650971685626,4.919380383864421
22,213.34791935971265,4.88028588424163
23,214.5470447834914,4.488921119412781
24,219.06759634902136,4.709363890088931
25,224.00700025460435,4.841803782833415
26,229.33741330552533,4.754533288772745
27,233.69340417890834,4.67608979749066
28,237.7698204809252,4.522839658141562
29,241.0491577962166,5.014697399970364
30,249.5736896447072,4.9498277828428074
31,253.06998674799945,4.946374041459951
32,255.30625645491403,4.416131705548756
33,259.87440698967805,4.792596993101542
34,265.55785183887633,4.581245890493698
35,266.614973781501,4.92966603740439
36,269.9704490239976,4.960284921091882
37,273.4596091884033,4.926227832622023
38,276.4520495031329,4.537407277500363
39,279.22925092774517,4.982307694570838
40,282.465114765052,4.686166824420072
41,286.6674453630029,4.876375429671306
42,291.8462913290674,4.832107434653165
43,295.5732548789583,4.989179704337763
44,299.84032605372136,4.55907024786344
45,301.64932546219416,4.383088068329913
46,305.72891260203687,4.681735166859611
47,307.21949612817,4.733721943025548
48,311.165141530356,5.146804856236042
49,315.4756160894757,4.535925912436493
50,318.85310425631656,4.764451095346768
51,322.14455867248296,4.454774290051174
52,324.8628660517396,4.756037320962581
53,329.03307168048093,4.7090405304832155
54,331.47446758266346,4.43303710995896
55,334.2113548332444,4.938411713241073
56,341.0422611110465,4.955848434886709
57,346.34787056601,4.904226782395917
58,350.40841934919206,4.823706985905153
59,351.8786490253593,4.468596252603039
60,357.1513022520396,4.876139790301803
61,359.7437549531145,4.883452411073695
62,364.736024114089,5.176852216546772
63,368.9684380957344,4.762655454328304
64,373.8648739109086,4.267351733160815
65,375.8259127667393,4.708387799679555
66,379.87297534653237,4.8716251742142545
67,381.4844686171865,4.8883770861832385
68,384.95611681486366,4.294078686863877
69,388.8461283542323,4.740016792752566
70,391.456083563638,4.756669835815143
71,396.3818542225922,4.846791301477799
