rank,color,size,node_indices,t_min,t_max,diameter_t,global_rank,n_nodes,t_values
1,green,9,0 1 2 3 4 5 6 7 8,101.3178510057314,118.79078286597621,17.472931860244813,1,9,101.317851005731 103.725538040478 105.446623052326 107.168611184276 111.029535543170 111.874659176993 114.320220915453 116.226680320858 118.790782865976
2,green,9,164 165 166 167 168 169 170 171 172,387.22289022238795,399.98511987619486,12.762229653806912,2,9,387.222890222388 388.846128354232 391.456083563638 392.245083339519 393.427743844434 395.582870010994 396.381854222592 397.918736209614 399.985119876195
3,green,5,5 6 7 8 9,111.87465917699262,121.37012500242065,9.495465825428028,3,5,111.874659176993 114.320220915453 116.226680320858 118.790782865976 121.370125002421
4,green,5,6 7 8 9 10,114.32022091545272,122.94682929355258,8.62660837809986,4,5,114.320220915453 116.226680320858 118.790782865976 121.370125002421 122.946829293553
5,green,5,7 8 9 10 11,116.22668032085755,124.25681855434576,8.030138233488202,5,5,116.226680320858 118.790782865976 121.370125002421 122.946829293553 124.256818554346
