u,v,t_u,t_v,distance,score_diff,score_mean,color,color_reason
6,10,114.32022091545272,122.94682929355258,8.62660837809986,0.4962275173465329,4.703407407230792,green,boundary-road
7,8,116.22668032085755,118.79078286597621,2.564102545118658,0.3515710751086152,4.741498195951118,green,boundary-road
7,9,116.22668032085755,121.37012500242065,5.143444681563096,0.023043883294532996,4.577234600044077,green,boundary-road
7,10,116.22668032085755,122.94682929355258,6.7201489726950285,0.1104190098392861,4.510503153477169,green,boundary-road
7,11,116.22668032085755,124.25681855434576,8.030138233488202,0.08508773431029226,4.523168791241665,green,boundary-road
8,9,118.79078286597621,121.37012500242065,2.5793421364444384,0.3285271918140822,4.753020137598385,green,boundary-road
8,10,118.79078286597621,122.94682929355258,4.156046427576371,0.4619900849479013,4.686288691031476,green,boundary-road
8,11,118.79078286597621,124.25681855434576,5.466035688369544,0.43665880941890745,4.698954328795972,green,boundary-road
8,12,118.79078286597621,127.51668387959648,8.725901013620273,0.1237200057258363,4.855423730642508,green,boundary-road
9,10,121.37012500242065,122.94682929355258,1.5767042911319322,0.1334628931338191,4.522025095124435,green,boundary-road
9,11,121.37012500242065,124.25681855434576,2.886693551925106,0.10813161760482526,4.534690732888931,green,boundary-road
9,12,121.37012500242065,127.51668387959648,6.146558877175835,0.20480718608824589,4.691160134735467,green,boundary-road
9,13,121.37012500242065,129.57870419995606,8.208579197535414,0.08214547994734378,4.547683801717673,violet,bridge/gap-road
10,11,122.94682929355258,124.25681855434576,1.3099892607931736,0.025331275528993835,4.4679592863220225,green,boundary-road
10,12,122.94682929355258,127.51668387959648,4.569854586043903,0.338270079222065,4.624428688168558,blue,local-road
10,13,122.94682929355258,129.57870419995606,6.631874906403482,0.051317413186475314,4.480952355150762,violet,bridge/gap-road
10,14,122.94682929355258,131.08768853093267,8.140859237380084,0.4728904555300897,4.69173887632257,violet,bridge/gap-road
11,12,124.25681855434576,127.51668387959648,3.259865325250729,0.31293880369307114,4.637094325933054,blue,local-road
11,13,124.25681855434576,129.57870419995606,5.321885645610308,0.02598613765748148,4.49361799291526,red,energy-similar
11,14,124.25681855434576,131.08768853093267,6.830869976586911,0.44755918000109585,4.7044045140870665,violet,bridge/gap-road
11,15,124.25681855434576,133.4977372029976,9.240918648651842,0.3946823091649456,4.677966078668992,violet,bridge/gap-road
12,13,127.51668387959648,129.57870419995606,2.0620203203595793,0.28695266603558967,4.650087394761796,blue,local-road
12,14,127.51668387959648,131.08768853093267,3.5710046513361817,0.1346203763080247,4.8608739159336025,red,energy-similar
12,15,127.51668387959648,133.4977372029976,5.981053323401113,0.08174350547187448,4.834435480515527,red,energy-similar
12,16,127.51668387959648,134.75650975337385,7.239825873777363,0.5260809279309999,4.53052326381409,violet,bridge/gap-road
13,14,129.57870419995606,131.08768853093267,1.5089843309766025,0.42157304234361437,4.717397582915808,blue,local-road
13,15,129.57870419995606,133.4977372029976,3.919033003041534,0.36869617150746414,4.690959147497733,blue,local-road
13,16,129.57870419995606,134.75650975337385,5.177805553417784,0.23912826189541025,4.387046930796295,blue,local-road
13,17,129.57870419995606,138.11604205453347,8.537337854577402,0.3242430059306267,4.344489558778687,violet,bridge/gap-road
14,15,131.08768853093267,133.4977372029976,2.4100486720649315,0.052876870836150225,4.901745668669539,red,energy-similar
14,16,131.08768853093267,134.75650975337385,3.6688212224411814,0.6607013042390246,4.597833451968103,blue,local-road
14,17,131.08768853093267,138.11604205453347,7.028353523600799,0.7458160482742411,4.555276079950494,violet,bridge/gap-road
14,18,131.08768853093267,139.7362089521214,8.64852042118872,0.16848520684847745,5.012426707511853,violet,bridge/gap-road
15,16,133.4977372029976,134.75650975337385,1.25877255037625,0.6078244334028744,4.571395016550028,blue,local-road
15,17,133.4977372029976,138.11604205453347,4.618304851535868,0.6929391774380909,4.52883764453242,blue,local-road
15,18,133.4977372029976,139.7362089521214,6.238471749123789,0.22136207768462768,4.9859882720937785,blue,local-road
15,19,133.4977372029976,141.1237074040211,7.625970201023506,0.4616351233118561,4.644489671595537,violet,bridge/gap-road
16,17,134.75650975337385,138.11604205453347,3.359532301159618,0.08511474403521646,4.224925427830982,red,energy-similar
16,18,134.75650975337385,139.7362089521214,4.979699198747539,0.8291865110875021,4.682076055392342,blue,local-road
16,19,134.75650975337385,141.1237074040211,6.367197650647256,0.14618931009101832,4.340577454894099,red,energy-similar
16,20,134.75650975337385,143.11184580762063,8.355336054246777,0.15349889911825088,4.344232249407716,violet,bridge/gap-road
17,18,138.11604205453347,139.7362089521214,1.6201668975879215,0.9143012551227185,4.6395186833747335,blue,local-road
17,19,138.11604205453347,141.1237074040211,3.007665349487638,0.23130405412623478,4.298020082876491,blue,local-road
17,20,138.11604205453347,143.11184580762063,4.995803753087159,0.23861364315346734,4.3016748773901075,blue,local-road
17,21,138.11604205453347,146.0009824867655,7.884940432232042,0.6189143874468863,4.4918252495368165,violet,bridge/gap-road
18,19,139.7362089521214,141.1237074040211,1.3874984518997167,0.6829972009964838,4.7551707104378504,blue,local-road
18,20,139.7362089521214,143.11184580762063,3.3756368554992378,0.6756876119692512,4.758825504951467,blue,local-road
18,21,139.7362089521214,146.0009824867655,6.264773534644121,0.2953868676758322,4.948975877098176,blue,local-road
18,22,139.7362089521214,147.42276534255961,7.686556390438227,0.533048209283824,4.83014520629418,violet,bridge/gap-road
19,20,141.1237074040211,143.11184580762063,1.988138403599521,0.007309589027232555,4.417326904453224,red,energy-similar
19,21,141.1237074040211,146.0009824867655,4.877275082744404,0.38761033332065153,4.607477276599934,blue,local-road
19,22,141.1237074040211,147.42276534255961,6.29905793853851,0.14994899171265974,4.488646605795939,red,energy-similar
19,23,141.1237074040211,150.05352042078488,8.929813016763774,0.44971131860677716,4.638527769242997,violet,bridge/gap-road
