index_in_run,t,abs_zeta,hardy_z,bracket_left,bracket_right,bracket_width,iterations,method
1,101.31785100573138,3.5422857690865914e-14,3.824248200184519e-31,101.31,101.32,0.01,94,hardy_z_sign_scan_bisection
2,103.72553804047834,1.2649065955306883e-15,-8.710542458091021e-31,103.72,103.73,0.01,87,hardy_z_sign_scan_bisection
3,105.44662305232609,8.419725772877462e-15,-1.188028972630351e-31,105.44,105.45,0.01,91,hardy_z_sign_scan_bisection
4,107.1686111842764,2.2413834010097467e-14,4.135542463085526e-31,107.16,107.17,0.01,94,hardy_z_sign_scan_bisection
5,111.02953554316967,7.198030527119504e-15,5.794321268350701e-31,111.02,111.03,0.01,93,hardy_z_sign_scan_bisection
6,111.87465917699264,3.966921383222685e-15,-8.822007828118074e-32,111.87,111.88,0.01,92,hardy_z_sign_scan_bisection
7,114.32022091545271,7.042728375194567e-15,5.813111512188188e-31,114.32,114.33,0.01,92,hardy_z_sign_scan_bisection
8,116.22668032085755,1.3667985781189432e-14,-1.7076976025897574e-32,116.22,116.23,0.01,94,hardy_z_sign_scan_bisection
9,118.79078286597621,2.8468938186298855e-14,-8.173014106528893e-31,118.79,118.8,0.01,94,hardy_z_sign_scan_bisection
10,121.37012500242065,9.365773181018965e-15,-6.109485287350876e-31,121.37,121.38,0.01,93,hardy_z_sign_scan_bisection
11,122.94682929355258,1.2786268448752426e-14,3.7839179482006364e-32,122.94,122.95,0.01,93,hardy_z_sign_scan_bisection
12,124.25681855434577,6.519981514553899e-15,-6.199801851156293e-32,124.25,124.26,0.01,94,hardy_z_sign_scan_bisection
13,127.5166838795965,1.9202624994489756e-14,-1.0961444705288397e-31,127.51,127.52,0.01,94,hardy_z_sign_scan_bisection
14,129.57870419995606,2.1128848120635995e-14,5.005008631081855e-31,129.57,129.58,0.01,92,hardy_z_sign_scan_bisection
15,131.08768853093267,3.079663720067316e-14,-2.9108295661586424e-31,131.08,131.09,0.01,92,hardy_z_sign_scan_bisection
16,133.4977372029976,3.101926131809299e-14,-2.970178926822156e-32,133.49,133.5,0.01,93,hardy_z_sign_scan_bisection
17,134.75650975337388,2.442426944548663e-14,-5.7867026641334455e-31,134.75,134.76,0.01,93,hardy_z_sign_scan_bisection
18,138.11604205453344,1.0111923989760342e-14,3.022191024704411e-31,138.11,138.12,0.01,94,hardy_z_sign_scan_bisection
19,139.7362089521214,1.9905747411003675e-14,-5.068791695839248e-31,139.73,139.74,0.01,93,hardy_z_sign_scan_bisection
20,141.12370740402113,1.258932495289079e-14,1.2010440725083104e-31,141.12,141.13,0.01,93,hardy_z_sign_scan_bisection
21,143.11184580762063,1.0272105798977224e-14,2.7108702986945044e-33,143.11,143.12,0.01,92,hardy_z_sign_scan_bisection
22,146.0009824867655,6.024077039619984e-14,9.348962859098078e-32,146.0,146.01,0.01,93,hardy_z_sign_scan_bisection
23,147.42276534255961,2.2398057080098943e-14,-3.234538751922451e-31,147.42,147.43,0.01,93,hardy_z_sign_scan_bisection
24,150.05352042078488,5.693782984319461e-16,-7.568810377619605e-31,150.05,150.06,0.01,92,hardy_z_sign_scan_bisection
25,150.92525761224147,5.123451954279372e-15,-6.514342900049915e-32,150.92,150.93,0.01,93,hardy_z_sign_scan_bisection
26,153.0246938111989,1.612688191967195e-14,6.2166433946793495e-31,153.02,153.03,0.01,92,hardy_z_sign_scan_bisection
27,156.11290929423788,3.848080338246599e-14,3.6142392157580966e-31,156.11,156.12,0.01,94,hardy_z_sign_scan_bisection
28,157.59759181759406,1.9604891353351778e-16,-6.449726746974806e-31,157.59,157.6,0.01,89,hardy_z_sign_scan_bisection
29,158.8499881714205,2.7248815288516137e-15,3.7122066944434984e-31,158.84,158.85,0.01,93,hardy_z_sign_scan_bisection
30,161.18896413759603,8.906963373953825e-15,-9.984792061365332e-31,161.18,161.19,0.01,93,hardy_z_sign_scan_bisection
31,163.030709687182,5.248641800677097e-14,7.92459491418302e-31,163.03,163.04,0.01,94,hardy_z_sign_scan_bisection
32,165.5370691879004,6.391492718038196e-14,6.319861433096577e-32,165.53,165.54,0.01,94,hardy_z_sign_scan_bisection
33,167.1844399781745,3.301191847385485e-14,7.211616911638217e-31,167.18,167.19,0.01,93,hardy_z_sign_scan_bisection
34,169.09451541556882,2.287993755087277e-15,2.116527687218966e-31,169.09,169.1,0.01,92,hardy_z_sign_scan_bisection
35,169.9119764794117,2.0448363953294013e-15,2.2992855633829874e-31,169.91,169.92,0.01,91,hardy_z_sign_scan_bisection
36,173.41153651959155,1.0319327761406918e-14,-2.1320524551466977e-31,173.41,173.42,0.01,93,hardy_z_sign_scan_bisection
37,174.75419152336573,9.859242557322613e-15,-7.260006360526392e-31,174.75,174.76,0.01,92,hardy_z_sign_scan_bisection
38,176.44143429771043,2.9543998937078775e-14,-9.410561922931996e-31,176.44,176.45,0.01,93,hardy_z_sign_scan_bisection
39,178.37740777609997,2.0550259869864676e-14,-3.0487408948336497e-31,178.37,178.38,0.01,93,hardy_z_sign_scan_bisection
40,179.916484020257,1.3536269194671332e-14,6.074547229747032e-31,179.91,179.92,0.01,94,hardy_z_sign_scan_bisection
41,182.20707848436646,9.597364413885393e-15,-5.315616180464116e-31,182.2,182.21,0.01,94,hardy_z_sign_scan_bisection
