length,trace,word_len
17.773647654833052,-7236.0,7
12.127559600629812,-430.0,7
9.825201631213847,136.0,5
15.970968481767402,2938.0,6
1.9248473002387554,3.0,3
9.734950547210683,130.0,8
10.85865278342226,228.0,6
11.681266413504977,-344.0,7
13.403917713567711,814.0,7
4.1268741377911535,-8.0,2
1.9248473002387554,-3.0,5
10.23591590811445,-167.0,5
11.226229572572072,-274.0,4
7.050988696156346,-34.0,3
11.269553695646326,280.0,5
7.699389200953656,-47.0,3
5.774541900715247,18.0,7
8.050065321103236,-56.0,4
6.929515813351728,-32.0,2
17.494704104762057,-6294.0,8
8.713088841203504,-78.0,3
11.542862836227956,321.0,5
6.17793980968921,22.0,7
2.633915793849788,-4.0,2
9.795568207214378,-134.0,4
5.117957954057237,13.0,3
8.931551949230167,87.0,4
6.17793980968921,-22.0,5
3.525494348078233,6.0,8
15.718826011240084,2590.0,7
15.965515171055,-2930.0,6
3.133598473944913,-5.0,2
7.376507734722595,-40.0,4
15.126400645556215,1926.0,8
16.394526591131477,-3631.0,8
13.75870949203154,972.0,6
9.656499462314855,-125.0,3
6.17793980968921,-22.0,3
12.865875015950143,622.0,8
7.699389200953656,47.0,3
13.202456545339778,-736.0,6
6.17793980968921,-22.0,2
10.086766982022407,155.0,8
13.124884197462002,708.0,6
19.417376941080185,16460.0,8
10.514936488375628,192.0,8
18.130397945876915,8649.0,7
9.688250161135548,-127.0,3
8.908424121205423,-86.0,3
4.1268741377911535,-8.0,2
6.9911760407878445,33.0,3
4.584863339122376,10.0,6
5.774541900715247,-18.0,3
6.513227909600108,26.0,4
5.774541900715247,18.0,2
6.929515813351728,-32.0,2
3.525494348078233,6.0,2
13.23480238134473,748.0,8
5.986445692252767,20.0,5
4.1268741377911535,8.0,3
5.986445692252767,20.0,4
8.28576535697017,63.0,4
10.451435534768269,186.0,8
8.738575166420436,79.0,5
11.283788991761476,282.0,6
2.633915793849788,4.0,2
5.5373187666271555,16.0,2
14.769219995735918,1611.0,7
5.267831587699277,-14.0,2
3.8496946004768713,7.0,5
17.29609193809099,5699.0,6
8.050065321103236,-56.0,4
17.356241653060792,-5873.0,8
6.588924585484386,-27.0,5
15.181703737224941,-1980.0,7
10.616486378198003,202.0,7
11.339738064324026,-290.0,7
2.633915793849788,4.0,2
20.945994183675126,35348.0,8
19.97105652150131,21710.0,8
6.929515813351728,-32.0,2
3.525494348078233,-6.0,2
21.828357919001174,54950.0,7
9.086363179342458,94.0,6
14.156681737241447,-1186.0,7
15.656075746796304,-2510.0,6
21.06152397646471,-37450.0,8
13.124884197462002,-708.0,6
6.513227909600108,-26.0,6
13.793386618505492,989.0,5
8.253748275582243,-62.0,4
3.8496946004768713,-7.0,2
7.376507734722595,40.0,6
6.661853105282506,28.0,6
8.837390834461338,83.0,5
14.234409690788043,1233.0,5
6.73220928585022,-29.0,3
10.525326682930878,-193.0,4
15.726533152161092,2600.0,7
18.05067040615106,8311.0,8
8.1545000925308,59.0,3
13.014550969419872,670.0,5
9.288596861390745,104.0,4
10.876120809590944,-230.0,5
5.659470075048787,17.0,6
6.17793980968921,-22.0,6
6.9911760407878445,-33.0,4
5.267831587699277,14.0,7
10.750513947049068,216.0,5
5.986445692252767,-20.0,2
10.606560310554931,-201.0,5
11.0588266801998,252.0,6
19.3852861059952,16198.0,8
11.766629258604745,-359.0,5
14.572382491141767,1460.0,7
14.052852039956077,-1126.0,8
20.22814514592449,-24688.0,8
15.949065451429291,2906.0,7
13.13615187760334,-712.0,8
6.800168828226681,30.0,3
14.929019012463675,1745.0,7
3.525494348078233,-6.0,2
12.275444778399997,463.0,7
7.273785836928269,38.0,8
5.774541900715247,18.0,2
1.9248473002387554,-3.0,2
8.763740696080134,80.0,6
9.16972667824471,-98.0,3
3.525494348078233,-6.0,4
12.141464788627154,-433.0,6
12.21848528891236,-450.0,8
6.661853105282506,28.0,6
3.525494348078233,-6.0,2
17.921192244772026,7790.0,8
1.9248473002387554,-3.0,2
10.385851970527368,-180.0,5
4.584863339122376,10.0,2
12.817052153937233,-607.0,4
8.050065321103236,-56.0,5
3.133598473944913,5.0,3
12.275444778399997,463.0,5
20.191023766177445,24234.0,6
10.440653210780143,185.0,3
5.5373187666271555,16.0,6
18.650906342266286,-11220.0,7
5.986445692252767,20.0,5
8.813140986153952,82.0,4
7.273785836928269,-38.0,4
10.741232788220646,215.0,4
13.232126786084418,747.0,6
7.862881886598607,-51.0,3
16.993980884898804,4900.0,5
10.440653210780143,185.0,6
6.9911760407878445,33.0,3
10.944506038166965,238.0,4
10.125109945873524,-158.0,6
3.8496946004768713,-7.0,4
7.474204484397849,-42.0,7
18.461462104047055,10206.0,6
6.661853105282506,-28.0,8
15.676686320134849,-2536.0,7
5.986445692252767,20.0,7
5.267831587699277,14.0,6
5.267831587699277,-14.0,2
14.07756554384025,1140.0,6
13.762820499080412,974.0,8
9.418898058372525,-111.0,5
6.800168828226681,30.0,3
24.72663990880402,234057.0,8
9.16972667824471,98.0,5
3.8496946004768713,7.0,3
10.36350397425253,178.0,7
21.74762364108736,-52776.0,7
11.777740569768328,361.0,7
14.708723842166487,1563.0,8
