idx,eigval
0,-0.15403723886611312
1,-0.1526425396782283
2,-0.15232908285261598
3,-0.15171301579805074
4,-0.15164107881663247
5,-0.15092241023688688
6,-0.14992414643959487
7,-0.149268674581701
8,-0.14761777344144852
9,-0.1468506014899132
10,-0.14560612889078775
11,-0.14536646776967616
12,-0.14480192044229256
13,-0.14444090504984752
14,-0.14400976328524276
15,-0.14394083273496883
16,-0.1436570827051537
17,-0.142198247239328
18,-0.14170606642130584
19,-0.14133152684460945
20,-0.14114023684675034
21,-0.14042805836601152
22,-0.1397632308694255
23,-0.13965658988715193
24,-0.13883197940404696
25,-0.1380637984797704
26,-0.1374247554182278
27,-0.13649946646088684
28,-0.13606087623814647
29,-0.1346626486054794
30,-0.13294213484782805
31,-0.13249714797334824
32,-0.13171827934923647
33,-0.13111455547884382
34,-0.13011849114483742
35,-0.12851690414111647
36,-0.12798905319137788
37,-0.12717442985577668
38,-0.12566925980290045
39,-0.12301303717939154
40,-0.1219887261612461
41,-0.11876860149195657
42,-0.11660420396581651
43,-0.11545915762620047
44,-0.113771986582167
45,-0.11258248170393961
46,-0.1112612321159076
47,-0.10990909265560864
48,-0.10844480778436007
49,-0.10702609753295872
50,-0.10469578444510641
51,-0.10094899798079689
52,-0.09854000448972898
53,-0.09533868538601789
54,-0.0879431236842857
55,-0.08066192898626588
56,-0.07603242653804854
57,-0.0709586366694231
58,-0.06614329817459123
59,-0.0606317708294007
60,-0.05456379336124814
61,-0.042691294370271075
62,-0.03727195031289314
63,3.133943862754555e-07
