step,loss,spectral_loss,spacing_loss,smoothness_loss,curvature_loss,tv_loss,amplitude_loss,frequency_loss,spectral_scale,spectral_shift,calibration_reg,raw_eig_min,raw_eig_max,scaled_eig_min,scaled_eig_max,prime_loss
0,0.7031027674674988,0.07561015337705612,1.2549852132797241,0.0,0.0,0.0,0.0,0.0,1.0,0.000426953163696453,0.0,0.02105345018208027,50.942138671875,0.02105345018208027,50.942138671875,0.0
1,0.7030835747718811,0.07560723274946213,1.25495183467865,1.1412948808242618e-08,1.866331568456392e-11,8.432949107373133e-05,1.2520149539341219e-05,3.6957867877163153e-09,1.0009602308273315,0.00022876735602039844,9.211769338435261e-07,0.02148677594959736,50.942562103271484,0.02193436212837696,50.991905212402344,0.0
2,0.7030672430992126,0.07560539990663528,1.2549221515655518,3.329563469378627e-08,5.037804548524427e-11,0.0001419886975781992,4.113512841286138e-05,3.3107092622941536e-09,1.00078284740448,0.00022988564160186797,6.123757998466317e-07,0.021484719589352608,50.94209289550781,0.02173030748963356,50.982200622558594,0.0
3,0.7031007409095764,0.0756034106016159,1.2549924850463867,6.890059722763908e-08,1.020209888791257e-10,0.00020100658002775162,8.840619557304308e-05,1.9626498204416976e-09,1.0007753372192383,0.0004965118132531643,6.006873149999592e-07,0.021157966926693916,50.94139862060547,0.02140425704419613,50.98112487792969,0.0
4,0.7030218243598938,0.07560059428215027,1.2548394203186035,1.1851859937905829e-07,1.7601008150958108e-10,0.00026214707759208977,0.00015056539268698543,2.1864596244647316e-10,1.0010216236114502,0.0008455311181023717,1.0426740573166171e-06,0.02192504145205021,50.941890716552734,0.022443952038884163,50.99443054199219,0.0
5,0.7030370235443115,0.07559818029403687,1.2548739910125732,1.794485910977528e-07,2.672012611171226e-10,0.00032035380718298256,0.00022607062419410795,3.630762912543162e-10,1.0011285543441772,0.0010632677003741264,1.2722705378109822e-06,0.022541919723153114,50.941993713378906,0.02341289073228836,51.00033187866211,0.0
6,0.702985942363739,0.07559455931186676,1.2547783851623535,2.5195615194206766e-07,3.7515654471853566e-10,0.00037651514867320657,0.0003150724805891514,7.256561462831712e-10,1.0011053085327148,0.0013577325735241175,1.2204710628793691e-06,0.02368760295212269,50.942691802978516,0.02477705106139183,51.000064849853516,0.0
7,0.7029358744621277,0.07559186965227127,1.2546828985214233,3.376047459369147e-07,5.032008698613311e-10,0.0004320292209740728,0.0004154917842242867,1.1179991377119336e-09,1.001103401184082,0.0017435664776712656,1.2163366136519471e-06,0.02392805926501751,50.94240951538086,0.025312194600701332,50.999977111816406,0.0
8,0.7029338479042053,0.0755896121263504,1.2546827793121338,4.2233190811202803e-07,6.3927430016264e-10,0.0004774494154844433,0.0005018402589485049,5.683281623092284e-10,1.0011197328567505,0.0020777429454028606,1.2527032140496885e-06,0.024317219853401184,50.94248580932617,0.026088014245033264,51.00127029418945,0.0
9,0.7028253674507141,0.07558680325746536,1.254470705986023,5.179741151550843e-07,7.948665059487325e-10,0.0005231369286775589,0.0005966786411590874,6.216429593308703e-09,1.0011487007141113,0.0023691807873547077,1.31843080453109e-06,0.024941053241491318,50.94278335571289,0.027047445997595787,51.003379821777344,0.0
10,0.7027852535247803,0.07558365166187286,1.2543960809707642,6.303768032012158e-07,9.76580594169718e-10,0.0005721236811950803,0.0007099569775164127,1.720264286575457e-08,1.0008947849273682,0.0027654992882162333,8.004856226762058e-07,0.024825023487210274,50.941959381103516,0.027216417714953423,50.98991012573242,0.0
11,0.7027428150177002,0.0755806714296341,1.2543164491653442,7.591341386614658e-07,1.183835030005298e-09,0.000623653526417911,0.000841561472043395,3.140729276651655e-08,1.0004826784133911,0.0030720806680619717,2.3363085688288265e-07,0.025075064972043037,50.942378997802734,0.02785266749560833,50.96973419189453,0.0
12,0.7027139663696289,0.07557787001132965,1.2542634010314941,9.041905286721885e-07,1.4166985362606965e-09,0.0006773003260605037,0.0009913805406540632,4.815187892859285e-08,0.9999871850013733,0.003416883060708642,1.107994140880919e-09,0.025560788810253143,50.941890716552734,0.028632542118430138,50.94430923461914,0.0
13,0.7026721239089966,0.07557526975870132,1.2541841268539429,1.0657956863724394e-06,1.675784955246229e-09,0.0007328548235818744,0.0011595808900892735,6.84356962210586e-08,0.9996278285980225,0.003723390866070986,1.3973061641081586e-07,0.025724055245518684,50.94181823730469,0.029131364077329636,50.92627716064453,0.0
14,0.7026499509811401,0.07557348906993866,1.2541422843933105,1.2442358183761826e-06,1.961599771505007e-09,0.0007898579933680594,0.0013464309740811586,9.278331702944342e-08,0.9994375705718994,0.003996457438915968,3.178911924806016e-07,0.025948267430067062,50.94182205200195,0.029657064005732536,50.916893005371094,0.0
15,0.7025282979011536,0.07556892186403275,1.2539072036743164,1.4399294059330714e-06,2.2748307682007862e-09,0.0008480281103402376,0.0015524743357673287,1.2260120740847924e-07,0.9994140863418579,0.0043108402751386166,3.4509321267250925e-07,0.02595060132443905,50.94163131713867,0.02993185445666313,50.9157829284668,0.0
16,0.702488124370575,0.07556533813476562,1.2538329362869263,1.6522108126082458e-06,2.614508831655371e-09,0.0009070010273717344,0.0017773796571418643,1.5709531453467207e-07,0.9995921850204468,0.0046281348913908005,1.6823925363951275e-07,0.026441337540745735,50.94200134277344,0.03074139542877674,50.925537109375,0.0
17,0.7023441195487976,0.07556374371051788,1.2535470724105835,1.8810675328495563e-06,2.980413915665281e-09,0.0009661089861765504,0.002021226566284895,1.9814046936517116e-07,0.9999897480010986,0.005008310545235872,2.2470678651131948e-09,0.026719748973846436,50.942413330078125,0.0313476100564003,50.94651794433594,0.0
18,0.7022734880447388,0.0755600705742836,1.2534120082855225,2.127438847310259e-06,3.3741105465168175e-09,0.001025148550979793,0.0022847726941108704,2.5313866558462905e-07,1.000522494316101,0.005414195824414492,2.7536609081835195e-07,0.027059728279709816,50.94252014160156,0.03208217769861221,50.97414779663086,0.0
19,0.7022402286529541,0.07555720210075378,1.2533501386642456,2.393028808000963e-06,3.798634740093121e-09,0.0010849105892702937,0.002569504315033555,3.2385926829192613e-07,1.0009593963623047,0.005842397455126047,9.224904715665616e-07,0.026944221928715706,50.94190979003906,0.03238426893949509,50.99619674682617,0.0
20,0.7022160291671753,0.07555381953716278,1.2533072233200073,2.679207455003052e-06,4.256207386532651e-09,0.0011457770597189665,0.0028766740579158068,4.11900828112266e-07,1.0013765096664429,0.006153336726129055,1.8955871610160102e-06,0.027338143438100815,50.942718505859375,0.03321817144751549,51.01868438720703,0.0
21,0.7021722793579102,0.07554987072944641,1.2532262802124023,2.9867724151699804e-06,4.748236470675238e-09,0.001207850524224341,0.003206720342859626,5.19558739142667e-07,1.0016275644302368,0.006466135382652283,2.64844743469439e-06,0.027092520147562027,50.94180679321289,0.03328995034098625,51.0308723449707,0.0
22,0.702140212059021,0.0755453035235405,1.2531697750091553,3.3169483231176855e-06,5.276746151139378e-09,0.0012716965284198523,0.003560768673196435,6.487940140686987e-07,1.0017122030258179,0.006811084691435099,2.9308087050594622e-06,0.027214039117097855,50.942081451416016,0.0337267704308033,51.035770416259766,0.0
23,0.7020635008811951,0.0755423903465271,1.2530208826065063,3.670710611913819e-06,5.843050043807807e-09,0.0013373123947530985,0.003939855843782425,8.069778232311364e-07,1.0016475915908813,0.00712183304131031,2.714731408559601e-06,0.027126414701342583,50.942115783691406,0.03398219496011734,51.03285598754883,0.0
24,0.7019208073616028,0.07553908973932266,1.252740502357483,4.04961065214593e-06,6.448783729240404e-09,0.0014042046386748552,0.004346384201198816,1.001815576273657e-06,1.0015519857406616,0.007434633560478687,2.4099990696413442e-06,0.027170658111572266,50.942344665527344,0.034334659576416016,51.02853012084961,0.0
25,0.701896607875824,0.0755351185798645,1.2526986598968506,4.455112048162846e-06,7.096596643663133e-09,0.0014722062041983008,0.004781585186719894,1.2366565442789579e-06,1.00143563747406,0.007779753301292658,2.0636273347918177e-06,0.02741915173828602,50.94232177734375,0.03489314764738083,51.022891998291016,0.0
26,0.7018610835075378,0.07553183287382126,1.25263249874115,4.888606781605631e-06,7.789072498098903e-09,0.001541619305498898,0.0052468059584498405,1.513522306595405e-06,1.0012154579162598,0.00815340131521225,1.4815967688264209e-06,0.027492931112647057,50.942527770996094,0.03530609980225563,51.01222610473633,0.0
27,0.7018264532089233,0.07552841305732727,1.2525683641433716,5.351324944058433e-06,8.528251882466975e-09,0.0016120944637805223,0.005743889603763819,1.8346619299336453e-06,1.0009653568267822,0.00849047489464283,9.376627190249565e-07,0.027070177718997,50.94206237792969,0.03524971008300781,50.999393463134766,0.0
28,0.7017408013343811,0.07552582770586014,1.252400517463684,5.8421996982360724e-06,9.312111082238061e-09,0.0016843256307765841,0.006270922254770994,2.1899002149439184e-06,1.0007566213607788,0.008794509805738926,5.792518891212239e-07,0.02713722176849842,50.9421501159668,0.035648226737976074,50.98918533325195,0.0
29,0.7016839981079102,0.07552079111337662,1.2522950172424316,6.361832220136421e-06,1.0141463668844608e-08,0.0017578603001311421,0.006828358396887779,2.5815656954364385e-06,1.0004595518112183,0.009068682789802551,2.1882520684357587e-07,0.026816476136446,50.94181442260742,0.03562330827116966,50.97401809692383,0.0
30,0.7016387581825256,0.07551679015159607,1.2522106170654297,6.909992862347281e-06,1.1015660383861814e-08,0.0018326512072235346,0.007415900472551584,3.0067888019402744e-06,1.0002005100250244,0.009379769675433636,4.842031131602198e-08,0.026108479127287865,50.94211196899414,0.035182397812604904,50.961395263671875,0.0
31,0.7016082406044006,0.07551207393407822,1.2521570920944214,7.484763500542613e-06,1.1930235466195427e-08,0.0019086275715380907,0.008032281883060932,3.44730665347015e-06,1.0000497102737427,0.00969306007027626,1.12689964026913e-08,0.025545919314026833,50.94210433959961,0.03492695838212967,50.954017639160156,0.0
32,0.7015106678009033,0.07550882548093796,1.2519662380218506,8.08674030849943e-06,1.2886282263480098e-08,0.0019856425933539867,0.008677554316818714,3.9050069062795956e-06,0.9999585747718811,0.010039072483778,1.1111661812890361e-08,0.02447769045829773,50.9415168762207,0.03416973724961281,50.949100494384766,0.0
33,0.7014182209968567,0.07550357282161713,1.2517898082733154,8.718095159565564e-06,1.3888365124614666e-08,0.0020638396963477135,0.00935128703713417,4.3961458686681e-06,0.9997807145118713,0.010351264849305153,5.8174968842195085e-08,0.02412029169499874,50.94144821166992,0.034154072403907776,50.9403190612793,0.0
34,0.7013003826141357,0.07549901306629181,1.251560926437378,9.375123227073345e-06,1.49284620221124e-08,0.002142816549167037,0.010052699595689774,4.8866672841541e-06,0.9996883273124695,0.010696417652070522,1.0788501469960465e-07,0.024021683260798454,50.94161605834961,0.0343654602766037,50.936092376708984,0.0
35,0.7011708617210388,0.0754949301481247,1.2513078451156616,1.0058776751975529e-05,1.6007852821076085e-08,0.0022225547581911087,0.01078442856669426,5.37616733709001e-06,0.9997782707214355,0.01107087079435587,6.061611657059984e-08,0.02186408080160618,50.94194412231445,0.03255565091967583,50.94134521484375,0.0
