r0,S_spec,S_geo,loss,relative_error
101.31785100573138,1.2490393065079723,0.5482508494975618,0.4911044614790321,0.5610619679848465
103.72553804047834,1.7632381298181719,0.07068453056695395,2.8647376863382523,0.9599120850605903
105.44662305232609,1.9678924591315508,-0.18873652437102562,4.651048572483355,1.0959079407699124
107.1686111842764,1.556323859266814,0.3114823036978811,1.5496304984712808,0.7998602219956822
111.02953554316967,1.9288568882522783,0.5642652190792021,1.8621104235765622,0.7074613313250567
111.87465917699264,2.0734412327716427,-0.06259890333302782,4.56266746305006,1.0301908209606894
114.32022091545271,1.7007696401598689,0.6120876112330358,1.1852285601082457,0.6401113924066667
116.22668032085755,1.6076460114360678,-0.4697989774234189,4.3157776817373925,1.2922278668060023
118.79078286597621,1.4034567860344338,-0.452470597243813,3.4444664520020405,1.3223972326916658
121.37012500242065,1.8526101467478822,0.2650850744828874,2.5202358550699766,0.8569126464532483
122.94682929355258,2.207042792066339,-0.3291638752917223,6.432344259551483,1.149142492834096
124.25681855434577,1.8472741110389899,0.5664595624565143,1.6404859078605307,0.6933538092668607
127.5166838795965,1.4624728115942784,0.5181661553186242,0.8917150610865066,0.6456917642040293
129.57870419995606,1.934955184313944,-0.20837747655365912,4.5938748951418,1.1076911068359603
131.08768853093267,1.8758533926904382,0.3466079739036168,2.338591550880481,0.8152265078888921
133.4977372029976,1.9335272459106185,0.4976328787918334,2.0617926335234564,0.7426294937034819
134.75650975337388,1.7702912402346627,-0.14656060988766834,3.6743210153174037,1.0827889760333171
138.11604205453344,1.6892922198148403,-0.2020337936135486,3.5771140890709225,1.1195967044942208
139.7362089521214,2.1968509683022925,0.18748627757236855,4.037546460352163,0.9146568022027347
141.12370740402113,2.097138776314651,0.07633740363069338,4.083638187841367,0.9635992552668187
143.11184580762063,1.5658168624639073,0.35016182449511507,1.4778171713389057,0.7763711448937741
146.0009824867655,1.748850714310871,-0.07631362401893176,3.3312248619108664,1.043636436751343
147.42276534255961,1.8371381204615596,0.31578159246350623,2.314525685282291,0.8281122158276852
150.05352042078488,2.1308411306151105,0.603898787982496,2.331552917724377,0.716591356121382
150.92525761224147,2.209319547734091,0.04966084709758967,4.66412570323494,0.9775221031635086
153.0246938111989,1.5403945871772209,0.444981864769055,1.1999290324136693,0.7111247497332917
156.11290929423788,1.8250665971258004,0.24508499888614207,2.496341850775945,0.8657117455717885
157.59759181759406,2.297733140695518,-0.08724638859691927,5.688127355143976,1.0379706314332064
158.8499881714205,2.096866274596375,-0.32870130029655953,5.88337806037199,1.156758345876037
161.18896413759603,1.7333119878653873,-0.4573886119970814,4.7991691182377805,1.2638812877083674
163.030709687182,1.663001135970858,0.541863240383432,1.2569501809222021,0.6741654377711851
165.5370691879004,1.774837243944749,-0.16170213265502453,3.7501847571214397,1.091108140927077
167.1844399781745,2.0783495483391903,0.1449875087790135,3.7378887760122863,0.9302391081436402
169.09451541556882,2.3000022447485966,0.2093880103682417,4.370667876993759,0.9089618195217253
169.9119764794117,2.059880251142076,0.5647958907867877,2.2352772445789824,0.7258112952285668
173.41153651959155,1.796418702675959,0.41038710646677173,1.9210835856901878,0.7715526377169297
174.75419152336573,2.17001954833455,-0.5784406257099506,7.554033328308727,1.2665600931974517
176.44143429771043,2.032488207682784,0.5879448902054745,2.0867053960683517,0.7107265394749577
