index_in_run,t,abs_zeta,hardy_z,bracket_left,bracket_right,bracket_width,iterations,method
1,150.05352042078488,5.693782984319461e-16,-7.568810377619605e-31,150.05,150.06,0.01,92,hardy_z_sign_scan_bisection
2,150.92525761224147,5.123451954279372e-15,-6.514342900049915e-32,150.92,150.93,0.01,93,hardy_z_sign_scan_bisection
3,153.0246938111989,1.612688191967195e-14,6.2166433946793495e-31,153.02,153.03,0.01,92,hardy_z_sign_scan_bisection
4,156.11290929423788,3.848080338246599e-14,3.6142392157580966e-31,156.11,156.12,0.01,94,hardy_z_sign_scan_bisection
5,157.59759181759406,1.9604891353351778e-16,-6.449726746974806e-31,157.59,157.6,0.01,89,hardy_z_sign_scan_bisection
6,158.8499881714205,2.7248815288516137e-15,3.7122066944434984e-31,158.84,158.85,0.01,93,hardy_z_sign_scan_bisection
7,161.18896413759603,8.906963373953825e-15,-9.984792061365332e-31,161.18,161.19,0.01,93,hardy_z_sign_scan_bisection
8,163.030709687182,5.248641800677097e-14,7.92459491418302e-31,163.03,163.04,0.01,94,hardy_z_sign_scan_bisection
9,165.5370691879004,6.391492718038196e-14,6.319861433096577e-32,165.53,165.54,0.01,94,hardy_z_sign_scan_bisection
10,167.1844399781745,3.301191847385485e-14,7.211616911638217e-31,167.18,167.19,0.01,93,hardy_z_sign_scan_bisection
11,169.09451541556882,2.287993755087277e-15,2.116527687218966e-31,169.09,169.1,0.01,92,hardy_z_sign_scan_bisection
12,169.9119764794117,2.0448363953294013e-15,2.2992855633829874e-31,169.91,169.92,0.01,91,hardy_z_sign_scan_bisection
13,173.41153651959155,1.0319327761406918e-14,-2.1320524551466977e-31,173.41,173.42,0.01,93,hardy_z_sign_scan_bisection
14,174.75419152336573,9.859242557322613e-15,-7.260006360526392e-31,174.75,174.76,0.01,92,hardy_z_sign_scan_bisection
15,176.44143429771043,2.9543998937078775e-14,-9.410561922931996e-31,176.44,176.45,0.01,93,hardy_z_sign_scan_bisection
16,178.37740777609997,2.0550259869864676e-14,-3.0487408948336497e-31,178.37,178.38,0.01,93,hardy_z_sign_scan_bisection
