update,mean_reward,best_reward,mean_length,valid_rate,primitive_rate,entropy,value_loss,policy_loss
1,-1.8274510173962033,3.686234712600708,4.998078623268858,0.896551724137931,0.896551724137931,1.791758120059967,3.5118740797042847,0.09581586346030235
2,0.6497924750851046,3.686234712600708,6.0945092467414135,0.967741935483871,0.967741935483871,1.7917473912239075,1.5118597149848938,0.1647813841700554
3,1.365898022428155,3.686234712600708,6.2860633644904125,1.0,1.0,1.7917300462722778,1.1708850860595703,0.21483375877141953
