step,loss,raw_loss,spacing_loss,range_loss,trace_proxy_loss,smooth_loss
0,746.7027587890625,732.0222778320312,10.818379402160645,0.7707576155662537,0.08350595086812973,0.00020268357184249908
1,743.1679077148438,728.5316772460938,10.790535926818848,0.7674623131752014,0.08350595086812973,0.0002026835281867534
2,739.643310546875,725.0511474609375,10.762855529785156,0.7641856074333191,0.08350595086812973,0.0002026834845310077
3,736.1319580078125,721.5838012695312,10.735215187072754,0.7609140872955322,0.08350595086812973,0.00020268344087526202
4,732.630615234375,718.1264038085938,10.707578659057617,0.7576508522033691,0.08350595086812973,0.00020268339721951634
5,729.1417846679688,714.6813354492188,10.680086135864258,0.7543997168540955,0.08350592851638794,0.00020268335356377065
6,725.6683349609375,711.2515869140625,10.65259838104248,0.7511605024337769,0.08350592851638794,0.0002026833244599402
7,722.2013549804688,707.8281860351562,10.625158309936523,0.7479300498962402,0.08350592851638794,0.00020268323714844882
8,718.750244140625,704.4204711914062,10.597822189331055,0.744709312915802,0.08350592851638794,0.00020268314983695745
9,715.3076782226562,701.0211181640625,10.57067584991455,0.7414990663528442,0.08350592851638794,0.0002026830770773813
10,711.8776245117188,697.6342163085938,10.54352855682373,0.7383020520210266,0.08350591361522675,0.00020268298976588994
11,708.4607543945312,694.2606201171875,10.516252517700195,0.735109806060791,0.08350591361522675,0.0002026828587986529
12,705.0535888671875,690.896240234375,10.489338874816895,0.7319303750991821,0.08350591361522675,0.00020268274238333106
13,701.6582641601562,687.5437622070312,10.462343215942383,0.7287594079971313,0.08350591361522675,0.00020268259686417878
14,698.2750854492188,684.2032470703125,10.43550968170166,0.7255998253822327,0.08350591361522675,0.00020268243679311126
15,694.90087890625,680.8717041015625,10.408570289611816,0.7224529981613159,0.08350591361522675,0.0002026822476182133
16,691.5413208007812,677.5545043945312,10.381887435913086,0.7193129658699036,0.08350589871406555,0.00020268205844331533
17,688.195556640625,674.2510986328125,10.355149269104004,0.716181755065918,0.08350589871406555,0.00020268185471650213
18,684.8560180664062,670.9537963867188,10.32854175567627,0.7130603790283203,0.08350589871406555,0.00020268160733394325
19,681.5308837890625,667.6707763671875,10.302032470703125,0.7099511623382568,0.08350589871406555,0.0002026813308475539
20,678.215087890625,664.3970336914062,10.27544116973877,0.7068511247634888,0.08350589871406555,0.00020268105436116457
21,674.9136962890625,661.137451171875,10.249098777770996,0.703762948513031,0.08350587636232376,0.00020268071966711432
22,671.6217651367188,657.8872680664062,10.222705841064453,0.7006832957267761,0.08350587636232376,0.00020268041407689452
23,668.3386840820312,654.6458129882812,10.196502685546875,0.6976126432418823,0.08350587636232376,0.00020268006483092904
24,665.0701293945312,651.418701171875,10.170275688171387,0.6945506930351257,0.08350587636232376,0.00020267967192921788
25,661.811767578125,648.2017211914062,10.144173622131348,0.6915014982223511,0.08350587636232376,0.00020267924992367625
26,658.565185546875,644.9964599609375,10.11805248260498,0.6884593367576599,0.08350586146116257,0.00020267879881430417
27,655.32568359375,641.7982177734375,10.091985702514648,0.6854300498962402,0.08350586146116257,0.00020267831860110164
28,652.1019897460938,638.6155395507812,10.066038131713867,0.682405948638916,0.08350586146116257,0.00020267782383598387
29,648.8888549804688,635.4432983398438,10.040225982666016,0.6793942451477051,0.08350586146116257,0.00020267731451895088
