baseline,mode,valid_braid_ratio,executor_rejection_rate,best_reward,mean_reward,reward_median,reward_std,reward_min,reward_max,best_spectral_error,sample_efficiency_proxy,unique_candidate_ratio,duplicate_count,validity_score_mean,length_score_mean,spectral_score_mean,stability_score_mean,diversity_score_mean
random,raw,0.99,0.01,2.177827279755306,1.2478195405035564,1.2042420195288748,1.1665329630864845,-10.0,2.177827279755306,0.003390279344976354,2.156049006957753,0.995,1,1.475,-1.560183328814177,-0.10335069985125975,0.89,0.7063095238095238
random,dedup,0.9899497487437185,0.010050251256281407,2.177827279755306,1.2458056929633257,1.1966154546956973,1.1691134351668482,-10.0,2.177827279755306,0.003390279344976354,2.1559395684009814,0.995,1,1.4748743718592965,-1.5641905456723433,-0.10385304233642034,0.8894472361809045,0.7090212969609955
ACO-only existing best,raw,1.0,0.0,1.820554700558875,1.820554700558875,1.820554700558875,0.0,1.820554700558875,1.820554700558875,0.0033902793449763907,1.820554700558875,1.0,0,1.5,-0.5187881749403112,-0.003384545304302781,1.0,0.4166666666666667
ACO-only existing best,dedup,1.0,0.0,1.820554700558875,1.820554700558875,1.820554700558875,0.0,1.820554700558875,1.820554700558875,0.0033902793449763907,1.820554700558875,1.0,0,1.5,-0.5187881749403112,-0.003384545304302781,1.0,0.4166666666666667
TopologicalLM-only,raw,0.87,0.13,2.177827279755306,-0.09235573202134302,1.1966154546956973,3.8407169784179613,-10.0,2.177827279755306,0.003390279344976354,1.8947097333871163,0.30959752321981426,223,1.175,-1.6005350536258975,-1.3029445544147435,-0.43,0.704281746031746
TopologicalLM-only,dedup,0.87,0.13,2.177827279755306,-0.09235573202134302,1.1966154546956973,3.8407169784179613,-10.0,2.177827279755306,0.003390279344976354,1.8947097333871163,0.30959752321981426,223,1.175,-1.6005350536258975,-1.3029445544147435,-0.43,0.704281746031746
TopologicalLM + ACO refinement placeholder,raw,0.87,0.13,2.177827279755306,-0.07152887809859182,1.1966154546956973,3.848235707926686,-10.0,2.177827279755306,0.003390279344976354,1.8947097333871163,0.30959752321981426,0,1.175,-1.5757686473676968,-1.3029445544147435,-0.43,0.7465
TopologicalLM + ACO refinement placeholder,dedup,0.87,0.13,2.177827279755306,-0.07152887809859182,1.1966154546956973,3.848235707926686,-10.0,2.177827279755306,0.003390279344976354,1.8947097333871163,0.30959752321981426,0,1.175,-1.5757686473676968,-1.3029445544147435,-0.43,0.7465
