rank,color,size,node_indices,t_min,t_max,diameter_t
1,red,4,7 8 9 10,116.22668032085755,122.94682929355258,6.7201489726950285
2,red,3,9 10 12,121.37012500242065,127.51668387959648,6.146558877175835
3,red,3,11 12 13,124.25681855434576,129.57870419995606,5.321885645610308
4,red,3,12 13 14,127.51668387959648,131.08768853093267,3.5710046513361817
5,red,3,20 21 22,143.11184580762063,147.42276534255961,4.310919534938989
6,red,3,21 22 24,146.0009824867655,150.92525761224147,4.924275125475958
7,red,3,22 24 25,147.42276534255961,153.02469381119886,5.601928468639244
8,red,2,3 5,107.16861118427641,111.87465917699262,4.706047992716208
9,red,2,15 17,133.4977372029976,138.11604205453347,4.618304851535868
10,red,2,17 20,138.11604205453347,143.11184580762063,4.995803753087159
11,red,2,21 23,146.0009824867655,150.05352042078488,4.0525379340193695
12,red,2,23 25,150.05352042078488,153.02469381119886,2.9711733904139805
13,red,2,24 26,150.92525761224147,156.11290929423785,5.187651681996385
14,red,1,0,101.3178510057314,101.3178510057314,0.0
15,red,1,1,103.72553804047834,103.72553804047834,0.0
16,red,1,2,105.44662305232609,105.44662305232609,0.0
17,red,1,4,111.02953554316969,111.02953554316969,0.0
18,red,1,6,114.32022091545272,114.32022091545272,0.0
19,red,1,16,134.75650975337385,134.75650975337385,0.0
20,red,1,18,139.7362089521214,139.7362089521214,0.0
1,blue,4,4 5 6 7,111.02953554316969,116.22668032085755,5.197144777687868
2,blue,4,16 17 18 19,134.75650975337385,141.1237074040211,6.367197650647256
3,blue,3,2 3 4,105.44662305232609,111.02953554316969,5.582912490843597
4,blue,3,2 4 5,105.44662305232609,111.87465917699262,6.428036124666534
5,blue,3,13 15 16,129.57870419995606,134.75650975337385,5.177805553417784
6,blue,3,14 15 16,131.08768853093267,134.75650975337385,3.6688212224411814
7,blue,3,15 16 18,133.4977372029976,139.7362089521214,6.238471749123789
8,blue,3,18 19 20,139.7362089521214,143.11184580762063,3.3756368554992378
9,blue,3,18 19 21,139.7362089521214,146.0009824867655,6.264773534644121
10,blue,2,6 8,114.32022091545272,118.79078286597621,4.470561950523489
11,blue,2,8 11,118.79078286597621,124.25681855434576,5.466035688369544
12,blue,2,9 11,121.37012500242065,124.25681855434576,2.886693551925106
13,blue,2,10 11,122.94682929355258,124.25681855434576,1.3099892607931736
14,blue,2,10 13,122.94682929355258,129.57870419995606,6.631874906403482
15,blue,2,12 15,127.51668387959648,133.4977372029976,5.981053323401113
16,blue,2,19 22,141.1237074040211,147.42276534255961,6.29905793853851
17,blue,2,22 23,147.42276534255961,150.05352042078488,2.6307550782252633
18,blue,2,23 24,150.05352042078488,150.92525761224147,0.8717371914565888
19,blue,2,23 26,150.05352042078488,156.11290929423785,6.059388873452974
20,blue,1,0,101.3178510057314,101.3178510057314,0.0
1,green,4,25 26 27 28,153.02469381119886,158.84998817142048,5.825294360221619
2,green,3,0 1 2,101.3178510057314,105.44662305232609,4.12877204659469
3,green,3,0 1 3,101.3178510057314,107.16861118427641,5.850760178545016
4,green,3,24 27 28,150.92525761224147,158.84998817142048,7.924730559179011
5,green,2,23 28,150.05352042078488,158.84998817142048,8.7964677506356
6,green,1,4,111.02953554316969,111.02953554316969,0.0
7,green,1,5,111.87465917699262,111.87465917699262,0.0
8,green,1,6,114.32022091545272,114.32022091545272,0.0
9,green,1,7,116.22668032085755,116.22668032085755,0.0
10,green,1,8,118.79078286597621,118.79078286597621,0.0
11,green,1,9,121.37012500242065,121.37012500242065,0.0
12,green,1,10,122.94682929355258,122.94682929355258,0.0
13,green,1,11,124.25681855434576,124.25681855434576,0.0
14,green,1,12,127.51668387959648,127.51668387959648,0.0
15,green,1,13,129.57870419995606,129.57870419995606,0.0
16,green,1,14,131.08768853093267,131.08768853093267,0.0
17,green,1,15,133.4977372029976,133.4977372029976,0.0
18,green,1,16,134.75650975337385,134.75650975337385,0.0
19,green,1,17,138.11604205453347,138.11604205453347,0.0
20,green,1,18,139.7362089521214,139.7362089521214,0.0
1,violet,2,0 4,101.3178510057314,111.02953554316969,9.711684537438288
2,violet,2,0 5,101.3178510057314,111.87465917699262,10.556808171261224
3,violet,2,0 6,101.3178510057314,114.32022091545272,13.002369909721324
4,violet,2,1 4,103.72553804047834,111.02953554316969,7.303997502691345
5,violet,2,1 5,103.72553804047834,111.87465917699262,8.149121136514282
6,violet,2,1 6,103.72553804047834,114.32022091545272,10.594682874974382
7,violet,2,2 6,105.44662305232609,114.32022091545272,8.873597863126633
8,violet,2,3 6,107.16861118427641,114.32022091545272,7.151609731176308
9,violet,2,5 8,111.87465917699262,118.79078286597621,6.916123688983589
10,violet,2,6 9,114.32022091545272,121.37012500242065,7.049904086967928
11,violet,2,11 14,124.25681855434576,131.08768853093267,6.830869976586911
12,violet,2,14 17,131.08768853093267,138.11604205453347,7.028353523600799
13,violet,2,20 23,143.11184580762063,150.05352042078488,6.941674613164253
14,violet,2,22 26,147.42276534255961,156.11290929423785,8.690143951678237
15,violet,2,22 27,147.42276534255961,157.59759181759404,10.174826475034422
16,violet,2,22 28,147.42276534255961,158.84998817142048,11.427222828860863
17,violet,2,23 27,150.05352042078488,157.59759181759404,7.544071396809159
18,violet,1,7,116.22668032085755,116.22668032085755,0.0
19,violet,1,10,122.94682929355258,122.94682929355258,0.0
20,violet,1,12,127.51668387959648,127.51668387959648,0.0
