candidate_index,t,score
0,101.3178510057314,4.995588249598018
1,103.72553804047834,4.836134175847337
2,105.44662305232609,5.033970307108481
3,107.16861118427641,4.830205527744356
4,111.02953554316969,4.731892845865442
5,111.87465917699262,4.812528473350577
6,114.32022091545272,5.104267223850381
7,116.22668032085755,4.917305559425224
8,118.79078286597621,4.964213824794178
9,121.37012500242065,4.94023943699842
10,122.94682929355258,4.944399817870729
11,124.25681855434576,4.841280770560192
12,127.51668387959648,4.89321530195406
13,129.57870419995606,4.891623672806655
14,131.08768853093267,4.8645019851712865
15,133.4977372029976,4.808192909020783
16,134.75650975337385,4.743756435724136
17,138.11604205453347,4.8191915389411175
18,139.7362089521214,4.977639547496142
19,141.1237074040211,4.9069978170659825
20,143.11184580762063,4.805675859493504
21,146.0009824867655,4.843169391896936
22,147.42276534255961,4.826156642811312
23,150.05352042078488,4.881246557195094
24,150.92525761224147,4.819728136093786
25,153.02469381119886,4.83059642060857
26,156.11290929423785,4.789431952943358
27,157.59759181759404,5.098640890583363
28,158.84998817142048,5.028965713581772
