t,abs_zeta,hardy_z,bracket_left,bracket_right,bracket_width,iterations,window_index,method,index_in_run
101.31785100573138,3.5422857690865914e-14,1.5415430606663158e-31,101.2978510057314,101.3178510057314,0.01999999999999602,94,1,hybrid_dtes_guided_hardy_z_bisection,1
103.72553804047834,1.2649065955306883e-15,-4.717941532047693e-31,103.70553804047834,103.72553804047834,0.01999999999999602,93,2,hybrid_dtes_guided_hardy_z_bisection,2
105.44662305232609,8.419725772877462e-15,8.391747292267993e-31,105.44662305232609,105.46662305232609,0.01999999999999602,93,3,hybrid_dtes_guided_hardy_z_bisection,3
107.1686111842764,2.2413834010097467e-14,-4.241623268216841e-31,107.14861118427642,107.16861118427641,0.01999999999999602,95,4,hybrid_dtes_guided_hardy_z_bisection,4
111.02953554316967,7.198030527119504e-15,3.196246960725308e-32,111.00953554316969,111.02953554316969,0.01999999999999602,94,5,hybrid_dtes_guided_hardy_z_bisection,5
111.87465917699264,3.966921383222685e-15,8.443026762343872e-31,111.87465917699262,111.89465917699262,0.01999999999999602,93,6,hybrid_dtes_guided_hardy_z_bisection,6
114.32022091545271,7.042728375194567e-15,-3.9180788078552046e-31,114.30022091545273,114.32022091545272,0.01999999999999602,92,7,hybrid_dtes_guided_hardy_z_bisection,7
116.22668032085755,1.3667985781189432e-14,4.632890616675585e-31,116.22668032085755,116.24668032085755,0.01999999999999602,94,8,hybrid_dtes_guided_hardy_z_bisection,8
118.79078286597621,2.8468938186298855e-14,-4.901313239943593e-31,118.79078286597621,118.81078286597621,0.01999999999999602,95,9,hybrid_dtes_guided_hardy_z_bisection,9
121.37012500242065,9.365773181018965e-15,-4.903511688944812e-31,121.35012500242065,121.37012500242065,0.01999999999999602,94,10,hybrid_dtes_guided_hardy_z_bisection,10
122.94682929355258,1.2786268448752426e-14,-4.0511022200830615e-31,122.94682929355258,122.96682929355258,0.01999999999999602,94,11,hybrid_dtes_guided_hardy_z_bisection,11
124.25681855434577,6.519981514553899e-15,7.1358937109596165e-31,124.25681855434576,124.27681855434575,0.01999999999999602,93,12,hybrid_dtes_guided_hardy_z_bisection,12
127.5166838795965,1.9202624994489756e-14,6.395701984091115e-31,127.51668387959648,127.53668387959648,0.01999999999999602,95,13,hybrid_dtes_guided_hardy_z_bisection,13
129.57870419995606,2.1128848120635995e-14,-5.7128126047218385e-31,129.55870419995605,129.57870419995606,0.020000000000010232,92,14,hybrid_dtes_guided_hardy_z_bisection,14
131.08768853093267,3.079663720067316e-14,-1.0843804716120785e-31,131.06768853093266,131.08768853093267,0.020000000000010232,92,15,hybrid_dtes_guided_hardy_z_bisection,15
133.4977372029976,3.101926131809299e-14,-4.0403927371870265e-31,133.4777372029976,133.4977372029976,0.020000000000010232,91,16,hybrid_dtes_guided_hardy_z_bisection,16
134.75650975337388,2.442426944548663e-14,-4.458375369088899e-31,134.75650975337385,134.77650975337383,0.01999999999998181,91,17,hybrid_dtes_guided_hardy_z_bisection,17
138.11604205453344,1.0111923989760342e-14,3.6331540008327333e-31,138.09604205453346,138.11604205453347,0.020000000000010232,95,18,hybrid_dtes_guided_hardy_z_bisection,18
139.7362089521214,1.9905747411003675e-14,-1.9905747411003675e-14,139.7362089521214,139.75620895212137,0.01999999999998181,120,19,hybrid_dtes_guided_hardy_z_bisection,19
141.12370740402113,1.258932495289079e-14,-5.059230328209027e-34,141.1237074040211,141.1437074040211,0.01999999999998181,94,20,hybrid_dtes_guided_hardy_z_bisection,20
143.11184580762063,1.0272105798977224e-14,8.559731154320023e-31,143.11184580762063,143.1318458076206,0.01999999999998181,95,21,hybrid_dtes_guided_hardy_z_bisection,21
146.0009824867655,6.024077039619984e-14,4.09529266173184e-31,146.0009824867655,146.0209824867655,0.01999999999998181,94,22,hybrid_dtes_guided_hardy_z_bisection,22
147.42276534255961,2.2398057080098943e-14,-4.042114404826733e-31,147.4027653425596,147.42276534255961,0.020000000000010232,94,23,hybrid_dtes_guided_hardy_z_bisection,23
150.05352042078488,5.693782984319461e-16,4.555246063023074e-31,150.05352042078488,150.07352042078486,0.01999999999998181,92,24,hybrid_dtes_guided_hardy_z_bisection,24
150.92525761224147,5.123451954279372e-15,-5.123451954279372e-15,150.92525761224147,150.94525761224145,0.01999999999998181,120,25,hybrid_dtes_guided_hardy_z_bisection,25
153.0246938111989,1.612688191967195e-14,6.949213045446202e-31,153.02469381119886,153.04469381119884,0.01999999999998181,95,26,hybrid_dtes_guided_hardy_z_bisection,26
156.11290929423788,3.848080338246599e-14,-1.9451829651266467e-31,156.11290929423785,156.13290929423783,0.01999999999998181,94,27,hybrid_dtes_guided_hardy_z_bisection,27
157.59759181759406,1.9604891353351778e-16,-1.092376067311951e-31,157.59759181759404,157.61759181759402,0.01999999999998181,91,28,hybrid_dtes_guided_hardy_z_bisection,28
158.8499881714205,2.7248815288516137e-15,8.333701807323009e-31,158.84998817142048,158.86998817142046,0.01999999999998181,94,29,hybrid_dtes_guided_hardy_z_bisection,29
