t,abs_zeta,hardy_z,bracket_left,bracket_right,bracket_width,iterations,window_index,method,index_in_run
105.44662305232609,8.419725772877462e-15,8.391747292267993e-31,105.44662305232609,105.46662305232609,0.01999999999999602,93,1,hybrid_dtes_guided_hardy_z_bisection,1
114.32022091545271,7.042728375194567e-15,-3.9180788078552046e-31,114.30022091545273,114.32022091545272,0.01999999999999602,92,2,hybrid_dtes_guided_hardy_z_bisection,2
129.57870419995606,2.1128848120635995e-14,-5.7128126047218385e-31,129.55870419995605,129.57870419995606,0.020000000000010232,92,3,hybrid_dtes_guided_hardy_z_bisection,3
131.08768853093267,3.079663720067316e-14,-1.0843804716120785e-31,131.06768853093266,131.08768853093267,0.020000000000010232,92,4,hybrid_dtes_guided_hardy_z_bisection,4
133.4977372029976,3.101926131809299e-14,-4.0403927371870265e-31,133.4777372029976,133.4977372029976,0.020000000000010232,91,5,hybrid_dtes_guided_hardy_z_bisection,5
139.7362089521214,1.9905747411003675e-14,-1.9905747411003675e-14,139.7362089521214,139.75620895212137,0.01999999999998181,120,6,hybrid_dtes_guided_hardy_z_bisection,6
143.11184580762063,1.0272105798977224e-14,8.559731154320023e-31,143.11184580762063,143.1318458076206,0.01999999999998181,95,7,hybrid_dtes_guided_hardy_z_bisection,7
147.42276534255961,2.2398057080098943e-14,-4.042114404826733e-31,147.4027653425596,147.42276534255961,0.020000000000010232,94,8,hybrid_dtes_guided_hardy_z_bisection,8
150.05352042078488,5.693782984319461e-16,4.555246063023074e-31,150.05352042078488,150.07352042078486,0.01999999999998181,92,9,hybrid_dtes_guided_hardy_z_bisection,9
157.59759181759406,1.9604891353351778e-16,-1.092376067311951e-31,157.59759181759404,157.61759181759402,0.01999999999998181,91,10,hybrid_dtes_guided_hardy_z_bisection,10
