u,v,t_u,t_v,distance,score_diff,score_mean,color,color_reason
0,1,105.44662305232609,114.32022091545272,8.873597863126633,0.07029691674190008,5.0691187654794305,red,energy-similar
0,2,105.44662305232609,129.57870419995606,24.132081147629975,0.14234663430182604,4.9627969899575675,violet,bridge/gap-road
0,3,105.44662305232609,131.08768853093267,25.641065478606578,0.1694683219371944,4.949236146139883,violet,bridge/gap-road
0,4,105.44662305232609,133.4977372029976,28.05111415067151,0.2257773980876978,4.9210816080646325,violet,bridge/gap-road
0,5,105.44662305232609,139.7362089521214,34.2895858997953,0.05633075961233924,5.005804927302311,violet,bridge/gap-road
0,6,105.44662305232609,143.11184580762063,37.665222755294536,0.22829444761497708,4.919823083300992,violet,bridge/gap-road
1,2,114.32022091545272,129.57870419995606,15.258483284503342,0.21264355104372612,4.997945448328518,blue,local-road
1,3,114.32022091545272,131.08768853093267,16.767467615479944,0.2397652386790945,4.984384604510834,blue,local-road
1,4,114.32022091545272,133.4977372029976,19.177516287544876,0.2960743148295979,4.956230066435582,blue,local-road
1,5,114.32022091545272,139.7362089521214,25.415988036668665,0.12662767635423933,5.040953385673261,violet,bridge/gap-road
1,6,114.32022091545272,143.11184580762063,28.791624892167903,0.29859136435687716,4.954971541671942,violet,bridge/gap-road
2,3,129.57870419995606,131.08768853093267,1.5089843309766025,0.027121687635368374,4.878062828988971,red,energy-similar
2,4,129.57870419995606,133.4977372029976,3.919033003041534,0.08343076378587178,4.849908290913719,blue,local-road
2,5,129.57870419995606,139.7362089521214,10.157504752165323,0.0860158746894868,4.934631610151398,blue,local-road
2,6,129.57870419995606,143.11184580762063,13.533141607664561,0.08594781331315104,4.848649766150079,blue,local-road
2,7,129.57870419995606,147.42276534255961,17.84406114260355,0.06546702999534304,4.858890157808983,red,energy-similar
3,4,131.08768853093267,133.4977372029976,2.4100486720649315,0.0563090761505034,4.836347447096035,red,energy-similar
3,5,131.08768853093267,139.7362089521214,8.64852042118872,0.11313756232485517,4.921070766333714,blue,local-road
3,6,131.08768853093267,143.11184580762063,12.024157276687959,0.05882612567778267,4.835088922332395,red,energy-similar
3,7,131.08768853093267,147.42276534255961,16.335076811626948,0.038345342359974666,4.845329313991299,red,energy-similar
4,5,133.4977372029976,139.7362089521214,6.238471749123789,0.16944663847535857,4.892916228258462,blue,local-road
4,6,133.4977372029976,143.11184580762063,9.614108604623027,0.0025170495272792692,4.8069343842571435,red,energy-similar
4,7,133.4977372029976,147.42276534255961,13.925028139562016,0.017963733790528735,4.8171747759160475,red,energy-similar
4,8,133.4977372029976,150.05352042078488,16.55578321778728,0.07305364817431048,4.844719733107938,red,energy-similar
5,6,139.7362089521214,143.11184580762063,3.3756368554992378,0.17196368800263784,4.891657703494823,blue,local-road
5,7,139.7362089521214,147.42276534255961,7.686556390438227,0.15148290468482983,4.901898095153727,blue,local-road
5,8,139.7362089521214,150.05352042078488,10.31731146866349,0.09639299030104809,4.929443052345618,blue,local-road
6,7,143.11184580762063,147.42276534255961,4.310919534938989,0.020480783317808005,4.815916251152408,red,energy-similar
6,8,143.11184580762063,150.05352042078488,6.941674613164253,0.07557069770158975,4.843461208344299,blue,local-road
7,8,147.42276534255961,150.05352042078488,2.6307550782252633,0.055089914383781746,4.853701600003203,red,energy-similar
7,9,147.42276534255961,157.59759181759404,10.174826475034422,0.27248424777205127,4.962398766697337,blue,local-road
8,9,150.05352042078488,157.59759181759404,7.544071396809159,0.21739433338826952,4.989943723889228,green,boundary-road
3,8,131.08768853093267,150.05352042078488,18.96583188985221,0.01674457202380708,4.87287427118319,red,energy-similar
6,9,143.11184580762063,157.59759181759404,14.485746009973411,0.2929650310898593,4.952158375038433,blue,local-road
5,9,139.7362089521214,157.59759181759404,17.86138286547265,0.12100134308722144,5.038140219039752,blue,local-road
4,9,133.4977372029976,157.59759181759404,24.09985461459644,0.29044798156258,4.953416899802074,blue,local-road
3,9,131.08768853093267,157.59759181759404,26.50990328666137,0.2341389054120766,4.981571437877324,violet,bridge/gap-road
