window_index,start,end,length
1,105.36662305232609,105.52662305232609,0.1599999999999966
2,114.24022091545272,114.40022091545272,0.1599999999999966
3,129.49870419995605,129.65870419995608,0.160000000000025
4,131.00768853093265,131.16768853093268,0.160000000000025
5,133.41773720299759,133.5777372029976,0.160000000000025
6,139.65620895212137,139.8162089521214,0.160000000000025
7,143.0318458076206,143.19184580762064,0.160000000000025
8,147.3427653425596,147.50276534255963,0.160000000000025
9,149.97352042078487,150.1335204207849,0.160000000000025
10,157.51759181759402,157.67759181759405,0.160000000000025
