Delta,abs_K
1e-06,6968.395747600342
0.005026120603015076,6878.29224132124
0.01005124120603015,6786.464689637658
0.015076361809045225,6692.926905813376
0.020101482412060303,6597.696391214726
0.02512660301507538,6500.794244917397
0.030151723618090452,6402.245072643262
0.03517684422110553,6302.076895055619
0.040201964824120605,6200.321055441891
0.04522708542713568,6097.012126811871
0.05025220603015076,5992.18781844047
0.055277326633165834,5885.8888818832165
0.0603024472361809,5778.159016493362
0.06532756783919598,5669.0447744690755
0.07035268844221106,5558.595465459872
0.07537780904522613,5446.863060760923
0.08040292964824121,5333.90209712497
0.08542805025125629,5219.769580220822
0.09045317085427136,5104.524887768759
0.09547829145728644,4988.229672382531
0.10050341206030151,4870.947764148987
0.10552853266331659,4752.745072975755
0.11055365326633167,4633.689490738929
0.11557877386934674,4513.8507932622415
0.1206038944723618,4393.30054216069
0.12562901507537688,4272.111986581051
0.13065413567839196,4150.359964873704
0.13567925628140703,4028.1208062293736
0.1407043768844221,3905.472232316246
0.1457294974874372,3782.4932589530727
0.15075461809045226,3659.2640978544914
0.15577973869346734,3535.8660584861427
0.16080485929648242,3412.3814500672015
0.1658299798994975,3288.893483759366
0.17085510050251257,3165.486175081787
0.17588022110552765,3042.2442465923887
0.18090534170854272,2919.253030877102
0.1859304623115578,2796.5983738887553
0.19095558291457287,2674.3665386790562
0.19598070351758795,2552.644109567267
0.20100582412060303,2431.517896790574
0.2060309447236181,2311.074841681537
0.21105606532663318,2191.4019224192125
0.21608118592964826,2072.586060401398
0.22110630653266333,1954.7140272859106
0.2261314271356784,1837.8723527500224
0.23115654773869349,1722.1472330179568
0.23618166834170856,1607.6244402065786
0.2412067889447236,1494.389232541187
0.2462319095477387,1382.526265492732
0.25125703015075374,1272.1195038897713
0.2562821507537688,1163.2521350579882
0.2613072713567839,1056.006483041565
0.26633239195979896,950.463923960684
0.27135751256281404,846.704802560238
0.2763826331658291,744.8083500050925
0.2814077537688442,644.8526029778841
