truth_index,truth_t,nearest_candidate_t,nearest_distance
0,150.05352042078488,150.92525761224147,0.8717371914565888
1,150.92525761224147,150.92525761224147,0.0
2,153.0246938111989,153.0246938111989,0.0
3,156.11290929423788,157.59759181759406,1.4846825233561844
4,157.59759181759406,157.59759181759406,0.0
5,158.8499881714205,157.59759181759406,1.252396353826441
6,161.18896413759603,161.18896413759603,0.0
7,163.030709687182,161.18896413759603,1.8417455495859656
8,165.5370691879004,167.1844399781745,1.6473707902740955
9,167.1844399781745,167.1844399781745,0.0
10,169.09451541556882,169.09451541556882,0.0
11,169.9119764794117,169.09451541556882,0.8174610638428703
12,173.41153651959155,174.75419152336573,1.3426550037741833
13,174.75419152336573,174.75419152336573,0.0
14,176.44143429771043,174.75419152336573,1.6872427743446963
15,178.37740777609997,178.37740777609997,0.0
16,179.916484020257,178.37740777609997,1.5390762441570303
17,182.20707848436646,182.20707848436646,0.0
18,184.8744678483875,184.8744678483875,0.0
19,185.59878367770747,184.8744678483875,0.724315829319977
20,187.22892258350186,187.22892258350186,0.0
21,189.41615865601693,187.22892258350186,2.187236072515077
22,192.0266563607138,192.0266563607138,0.0
23,193.0797266038457,192.0266563607138,1.0530702431319128
24,195.26539667952923,195.26539667952923,0.0
25,196.87648184095832,198.01530967625192,1.138827835293597
26,198.01530967625192,198.01530967625192,0.0
27,201.2647519437038,202.49359451414054,1.2288425704367398
28,202.49359451414054,202.49359451414054,0.0
29,204.18967180310455,202.49359451414054,1.6960772889640054
30,205.3946972021633,202.49359451414054,2.901102688022746
31,207.90625888780622,209.57650971685626,1.6702508290500475
32,209.57650971685626,209.57650971685626,0.0
33,211.6908625953653,213.34791935971268,1.6570567643473737
34,213.34791935971268,213.34791935971268,0.0
35,214.54704478349143,213.34791935971268,1.199125423778753
36,216.1695385082637,213.34791935971268,2.8216191485510365
37,219.0675963490214,221.43070555469333,2.3631092056719467
38,220.714918839314,221.43070555469333,0.7157867153793234
39,221.43070555469333,221.43070555469333,0.0
40,224.00700025460432,221.43070555469333,2.5762946999109886
41,224.9833246695823,227.4214442796793,2.4381196100970044
42,227.4214442796793,227.4214442796793,0.0
43,229.33741330552536,227.4214442796793,1.915969025846067
44,231.25018870049917,231.98723525318024,0.737046552681079
45,231.98723525318024,231.98723525318024,0.0
46,233.6934041789083,231.98723525318024,1.7061689257280648
47,236.5242296658162,239.55547757332764,3.0312479075114425
48,237.7698204809252,239.55547757332764,1.785657092402431
49,239.55547757332764,239.55547757332764,0.0
50,241.04915779621658,239.55547757332764,1.4936802228889405
51,242.8232719342226,242.8232719342226,0.0
52,244.07089849707816,242.8232719342226,1.2476265628555723
53,247.1369900748975,248.10199006014847,0.9649999852509552
54,248.10199006014847,248.10199006014847,0.0
55,249.5736896447072,249.5736896447072,0.0
56,251.014947795016,249.5736896447072,1.441258150308812
