clique_rank,local_rank,color,clique_size,node_idx,t,score,abs_zeta,kind
1,1,green,9,0,150.05352042078488,3.1528208926718384,5.693782984319461e-16,
1,2,green,9,1,150.92525761224147,4.368042693980473,5.123451954279372e-15,
1,3,green,9,2,153.02469381119886,4.690244271533339,1.5355192052874064e-13,
1,4,green,9,3,156.11290929423785,4.505157481588014,5.439135277333429e-14,
1,5,green,9,4,157.59759181759404,4.858718234987342,3.4666543885259307e-14,
1,6,green,9,5,158.84998817142048,4.328330107703984,3.9990718458502245e-14,
1,7,green,9,6,161.18896413759603,4.940660663758217,8.906963373953825e-15,
1,8,green,9,7,163.03070968718197,4.47691117298125,7.094628032248078e-14,
1,9,green,9,8,165.53706918790044,4.4049024799281105,7.185734063938355e-14,
2,1,green,9,141,387.22289022238795,4.518861923410556,1.1028449385549003e-13,
2,2,green,9,142,388.8461283542323,4.08016479760866,3.040456811192936e-13,
2,3,green,9,143,391.456083563638,4.132475685594703,1.3376361367289724e-13,
2,4,green,9,144,392.24508333951906,4.8287236342365345,7.26132402965151e-14,
2,5,green,9,145,393.4277438444341,4.441677653833852,2.335572256308479e-13,
2,6,green,9,146,395.5828700109937,4.417262176082562,5.4136287894055623e-14,
2,7,green,9,147,396.3818542225922,4.286196251949738,3.191227435533159e-14,
2,8,green,9,148,397.9187362096143,4.756513142046908,3.0315738889987646e-13,
2,9,green,9,149,399.98511987619486,4.404868944277532,2.6173091950484897e-13,
3,1,green,5,5,158.84998817142048,4.328330107703984,3.9990718458502245e-14,
3,2,green,5,6,161.18896413759603,4.940660663758217,8.906963373953825e-15,
3,3,green,5,7,163.03070968718197,4.47691117298125,7.094628032248078e-14,
3,4,green,5,8,165.53706918790044,4.4049024799281105,7.185734063938355e-14,
3,5,green,5,9,167.1844399781745,4.928866266693689,3.301191847385485e-14,
4,1,green,5,6,161.18896413759603,4.940660663758217,8.906963373953825e-15,
4,2,green,5,7,163.03070968718197,4.47691117298125,7.094628032248078e-14,
4,3,green,5,8,165.53706918790044,4.4049024799281105,7.185734063938355e-14,
4,4,green,5,9,167.1844399781745,4.928866266693689,3.301191847385485e-14,
4,5,green,5,10,169.09451541556882,4.899338209009112,2.287993755087277e-15,
5,1,green,5,7,163.03070968718197,4.47691117298125,7.094628032248078e-14,
5,2,green,5,8,165.53706918790044,4.4049024799281105,7.185734063938355e-14,
5,3,green,5,9,167.1844399781745,4.928866266693689,3.301191847385485e-14,
5,4,green,5,10,169.09451541556882,4.899338209009112,2.287993755087277e-15,
5,5,green,5,11,169.9119764794117,4.28092598395598,2.0448363953294013e-15,
