window_index,start,end,length
1,150.86025761224147,150.99025761224146,0.12999999999999545
2,152.95969381119886,153.08969381119886,0.12999999999999545
3,157.53259181759404,157.66259181759403,0.12999999999999545
4,161.12396413759603,161.25396413759603,0.12999999999999545
5,167.1194399781745,167.2494399781745,0.12999999999999545
6,169.02951541556882,169.15951541556882,0.12999999999999545
7,174.6891915233657,174.8191915233657,0.12999999999999545
8,178.31240777609997,178.44240777609997,0.12999999999999545
9,182.1420784843665,182.2720784843665,0.12999999999999545
10,184.8094678483875,184.9394678483875,0.12999999999999545
11,187.16392258350186,187.29392258350185,0.12999999999999545
12,191.9616563607138,192.09165636071378,0.12999999999999545
13,195.20039667952926,195.33039667952926,0.12999999999999545
14,197.9503096762519,198.0803096762519,0.12999999999999545
15,202.4285945141405,202.5585945141405,0.12999999999999545
16,209.51150971685627,209.64150971685626,0.12999999999999545
17,213.28291935971265,213.41291935971265,0.12999999999999545
18,221.36570555469336,221.49570555469336,0.12999999999999545
19,227.3564442796793,227.4864442796793,0.12999999999999545
20,231.92223525318025,232.05223525318024,0.12999999999999545
21,239.4904775733276,239.6204775733276,0.12999999999999545
22,242.7582719342226,242.8882719342226,0.12999999999999545
23,248.03699006014847,248.16699006014846,0.12999999999999545
24,249.5086896447072,249.6386896447072,0.12999999999999545
25,255.24125645491404,255.37125645491403,0.12999999999999545
26,260.74008450459684,260.87008450459683,0.12999999999999545
27,263.50889390487015,263.63889390487014,0.12999999999999545
28,266.549973781501,266.679973781501,0.12999999999999545
29,269.9054490239976,270.0354490239976,0.12999999999999545
30,271.429055641645,271.559055641645,0.12999999999999545
31,275.52249264934386,275.65249264934386,0.12999999999999545
32,278.185743529842,278.315743529842,0.12999999999999545
33,284.7709639809047,284.9009639809047,0.12999999999999545
34,287.8469205014222,287.97692050142217,0.12999999999999545
35,293.4934341393562,293.6234341393562,0.12999999999999545
36,299.77532605372136,299.90532605372135,0.12999999999999545
37,302.63174958960695,302.76174958960695,0.12999999999999545
38,304.79937134085725,304.92937134085724,0.12999999999999545
39,312.3628011806009,312.4928011806009,0.12999999999999545
40,313.9202857311589,314.0502857311589,0.12999999999999545
41,317.66980594237015,317.79980594237014,0.12999999999999545
42,322.07955867248296,322.20955867248296,0.12999999999999545
43,323.401969557512,323.531969557512,0.12999999999999545
44,329.8882397282338,330.0182397282338,0.12999999999999545
45,333.5803785248699,333.7103785248699,0.12999999999999545
46,338.27499285080665,338.40499285080665,0.12999999999999545
47,340.9772611110465,341.1072611110465,0.12999999999999545
48,346.28287056601,346.41287056601,0.12999999999999545
49,349.25126087069617,349.38126087069617,0.12999999999999545
50,353.42390048871886,353.55390048871885,0.12999999999999545
51,357.88768510163226,358.01768510163225,0.12999999999999545
52,359.6787549531145,359.8087549531145,0.12999999999999545
53,364.671024114089,364.801024114089,0.12999999999999545
54,366.1477102883313,366.2777102883313,0.12999999999999545
55,368.90343809573443,369.0334380957344,0.12999999999999545
56,373.7998739109086,373.9298739109086,0.12999999999999545
57,376.25909223066805,376.38909223066804,0.12999999999999545
58,379.8079753465324,379.93797534653237,0.12999999999999545
59,384.89111681486366,385.02111681486366,0.12999999999999545
60,387.15789022238795,387.28789022238794,0.12999999999999545
61,392.18008333951906,392.31008333951905,0.12999999999999545
62,397.8537362096143,397.9837362096143,0.12999999999999545
63,402.79691776388614,402.92691776388614,0.12999999999999545
64,404.171441800208,404.301441800208,0.12999999999999545
65,408.88224550235117,409.01224550235116,0.12999999999999545
66,413.19773607018504,413.32773607018504,0.12999999999999545
67,415.39021499629456,415.52021499629456,0.12999999999999545
68,419.7963648181523,419.9263648181523,0.12999999999999545
69,423.6515796274818,423.7815796274818,0.12999999999999545
70,427.14382508407454,427.27382508407453,0.12999999999999545
71,431.2363069307036,431.3663069307036,0.12999999999999545
72,433.8242184809272,433.9542184809272,0.12999999999999545
73,439.85344221437066,439.98344221437065,0.12999999999999545
74,442.83954630260945,442.96954630260944,0.12999999999999545
75,446.7956226964296,446.92562269642957,0.12999999999999545
