candidate_index,t,score
0,150.92525761224147,4.368042693980473
1,153.02469381119886,4.690244271533339
2,157.59759181759404,4.858718234987342
3,161.18896413759603,4.940660663758217
4,167.1844399781745,4.928866266693689
5,169.09451541556882,4.899338209009112
6,174.7541915233657,5.003446778100625
7,178.37740777609997,4.5625870935428905
8,182.2070784843665,4.884044272164743
9,184.8744678483875,4.274827478178514
10,187.22892258350186,4.725261834360075
11,192.0266563607138,4.890217118821127
12,195.26539667952926,4.894287940706023
13,198.0153096762519,4.914852758933621
14,202.4935945141405,4.885436370950013
15,209.57650971685626,4.950011959657687
16,213.34791935971265,4.816425596374611
17,221.43070555469336,5.038553114436906
18,227.4214442796793,4.90826140591991
19,231.98723525318024,4.959181365490882
20,239.5554775733276,5.19822456388693
21,242.8232719342226,4.652358174686007
22,248.10199006014847,4.755812883461029
23,249.5736896447072,4.827102201011677
24,255.30625645491403,4.776887509634336
25,260.80508450459683,5.030733509911507
26,263.57389390487015,4.782324452398019
27,266.614973781501,4.464343513575878
28,269.9704490239976,4.512105763944254
29,271.494055641645,4.892889800110577
30,275.58749264934386,4.450166347069022
31,278.250743529842,4.696364168294026
32,284.8359639809047,4.857668281124488
33,287.9119205014222,4.862924270849124
34,293.5584341393562,4.7676678417506295
35,299.84032605372136,4.881964902501834
36,302.69674958960695,4.85317609192072
37,304.86437134085725,4.993741868175419
38,312.4278011806009,4.65436286801835
39,313.9852857311589,5.0993349279565585
40,317.73480594237014,4.751928919635173
41,322.14455867248296,4.925684849185593
42,323.466969557512,4.913359740008665
43,329.9532397282338,4.913022442428262
44,333.6453785248699,4.723301183336049
45,338.33999285080665,4.4754120034972455
46,341.0422611110465,4.799084090105677
47,346.34787056601,4.6557092588992495
48,349.31626087069617,4.731793056439191
49,353.48890048871885,4.77127332474964
50,357.95268510163226,4.426838028107356
51,359.7437549531145,4.9134813052136375
52,364.736024114089,5.11167371345885
53,366.2127102883313,5.027018300008477
54,368.9684380957344,4.682968532174189
55,373.8648739109086,4.759195766807898
56,376.32409223066804,4.5926267583954985
57,379.87297534653237,4.93613765030342
58,384.95611681486366,4.823144154559951
59,387.22289022238795,4.518861923410556
60,392.24508333951906,4.8287236342365345
61,397.9187362096143,4.756513142046908
62,402.86191776388614,4.774277425016175
63,404.236441800208,4.770579579119177
64,408.94724550235117,5.143362173594883
65,413.26273607018504,4.986680535249126
66,415.45521499629456,4.482557719661676
67,419.8613648181523,4.873700987111204
68,423.7165796274818,5.051982803588622
69,427.20882508407453,4.790916787037134
70,431.3013069307036,4.790831423244006
71,433.8892184809272,4.442069227082338
72,439.91844221437066,4.9616211632200296
73,442.90454630260945,4.904547297399019
74,446.8606226964296,4.972250235171262
