truth_index,truth_t,nearest_candidate_t,nearest_distance
0,150.05352042078488,150.92525761224147,0.8717371914565888
1,150.92525761224147,150.92525761224147,0.0
2,153.0246938111989,153.02469381119886,2.842170943040401e-14
3,156.11290929423788,157.59759181759404,1.484682523356156
4,157.59759181759406,157.59759181759404,2.842170943040401e-14
5,158.8499881714205,157.59759181759404,1.2523963538264695
6,161.18896413759603,161.18896413759603,0.0
7,163.030709687182,161.18896413759603,1.8417455495859656
8,165.5370691879004,167.1844399781745,1.6473707902740955
9,167.1844399781745,167.1844399781745,0.0
10,169.09451541556882,169.09451541556882,0.0
11,169.9119764794117,169.09451541556882,0.8174610638428703
12,173.41153651959155,174.7541915233657,1.342655003774155
13,174.75419152336573,174.7541915233657,2.842170943040401e-14
14,176.44143429771043,174.7541915233657,1.6872427743447247
15,178.37740777609997,178.37740777609997,0.0
16,179.916484020257,178.37740777609997,1.5390762441570303
17,182.20707848436646,182.2070784843665,2.842170943040401e-14
18,184.8744678483875,184.8744678483875,0.0
19,185.59878367770747,184.8744678483875,0.724315829319977
20,187.22892258350186,187.22892258350186,0.0
21,189.41615865601693,187.22892258350186,2.187236072515077
22,192.0266563607138,192.0266563607138,0.0
23,193.0797266038457,192.0266563607138,1.0530702431319128
24,195.26539667952923,195.26539667952926,2.842170943040401e-14
25,196.87648184095832,198.0153096762519,1.1388278352935686
26,198.01530967625192,198.0153096762519,2.842170943040401e-14
27,201.2647519437038,202.4935945141405,1.2288425704367114
28,202.49359451414054,202.4935945141405,2.842170943040401e-14
29,204.18967180310455,202.4935945141405,1.6960772889640339
30,205.3946972021633,202.4935945141405,2.9011026880227746
31,207.90625888780622,209.57650971685626,1.6702508290500475
32,209.57650971685626,209.57650971685626,0.0
33,211.6908625953653,213.34791935971265,1.6570567643473453
34,213.34791935971268,213.34791935971265,2.842170943040401e-14
35,214.54704478349143,213.34791935971265,1.1991254237787814
36,216.1695385082637,213.34791935971265,2.821619148551065
37,219.0675963490214,221.43070555469336,2.363109205671975
38,220.714918839314,221.43070555469336,0.7157867153793518
39,221.43070555469333,221.43070555469336,2.842170943040401e-14
40,224.00700025460432,221.43070555469336,2.57629469991096
41,224.9833246695823,227.4214442796793,2.4381196100970044
42,227.4214442796793,227.4214442796793,0.0
43,229.33741330552536,227.4214442796793,1.915969025846067
44,231.25018870049917,231.98723525318024,0.737046552681079
45,231.98723525318024,231.98723525318024,0.0
46,233.6934041789083,231.98723525318024,1.7061689257280648
47,236.5242296658162,239.5554775733276,3.031247907511414
48,237.7698204809252,239.5554775733276,1.7856570924024027
49,239.55547757332764,239.5554775733276,2.842170943040401e-14
50,241.04915779621658,239.5554775733276,1.493680222888969
51,242.8232719342226,242.8232719342226,0.0
52,244.07089849707816,242.8232719342226,1.2476265628555723
53,247.1369900748975,248.10199006014847,0.9649999852509552
54,248.10199006014847,248.10199006014847,0.0
