u,v,t_u,t_v,distance,score_diff,score_mean,color,color_reason
0,1,150.05352042078488,150.92525761224147,0.8717371914565888,1.2152218013086347,3.7604317933261555,green,boundary-road
0,2,150.05352042078488,153.02469381119886,2.9711733904139805,1.5374233788615004,3.9215325821025884,green,boundary-road
0,3,150.05352042078488,156.11290929423785,6.059388873452974,1.352336588916176,3.8289891871299266,green,boundary-road
0,4,150.05352042078488,157.59759181759404,7.544071396809159,1.7058973423155037,4.00576956382959,green,boundary-road
0,5,150.05352042078488,158.84998817142048,8.7964677506356,1.1755092150321453,3.7405755001879113,green,boundary-road
0,6,150.05352042078488,161.18896413759603,11.135443716811153,1.7878397710863783,4.046740778215027,green,boundary-road
0,7,150.05352042078488,163.03070968718197,12.97718926639709,1.3240902803094117,3.8148660328265445,green,boundary-road
0,8,150.05352042078488,165.53706918790044,15.483548767115565,1.252081587256272,3.778861686299974,green,boundary-road
1,2,150.92525761224147,153.02469381119886,2.0994361989573918,0.3222015775528657,4.529143482756906,green,boundary-road
1,3,150.92525761224147,156.11290929423785,5.187651681996385,0.13711478760754137,4.436600087784244,green,boundary-road
1,4,150.92525761224147,157.59759181759404,6.67233420535257,0.49067554100686905,4.613380464483908,green,boundary-road
1,5,150.92525761224147,158.84998817142048,7.924730559179011,0.039712586276489326,4.348186400842229,green,boundary-road
1,6,150.92525761224147,161.18896413759603,10.263706525354564,0.5726179697777436,4.654351678869345,green,boundary-road
1,7,150.92525761224147,163.03070968718197,12.105452074940501,0.10886847900077701,4.422476933480862,green,boundary-road
1,8,150.92525761224147,165.53706918790044,14.611811575658976,0.03685978594763739,4.386472586954292,green,boundary-road
2,3,153.02469381119886,156.11290929423785,3.0882154830389936,0.18508678994532435,4.597700876560676,green,boundary-road
2,4,153.02469381119886,157.59759181759404,4.572898006395178,0.16847396345400334,4.7744812532603405,green,boundary-road
2,5,153.02469381119886,158.84998817142048,5.825294360221619,0.36191416382935504,4.509287189618661,green,boundary-road
2,6,153.02469381119886,161.18896413759603,8.164270326397173,0.2504163922248779,4.815452467645778,green,boundary-road
2,7,153.02469381119886,163.03070968718197,10.00601587598311,0.2133330985520887,4.583577722257294,green,boundary-road
2,8,153.02469381119886,165.53706918790044,12.512375376701584,0.2853417916052283,4.547573375730725,green,boundary-road
3,4,156.11290929423785,157.59759181759404,1.4846825233561844,0.3535607533993277,4.681937858287679,green,boundary-road
3,5,156.11290929423785,158.84998817142048,2.7370788771826255,0.1768273738840307,4.416743794645999,green,boundary-road
3,6,156.11290929423785,161.18896413759603,5.076054843358179,0.43550318217020223,4.722909072673115,green,boundary-road
3,7,156.11290929423785,163.03070968718197,6.917800392944116,0.02824630860676436,4.491034327284632,green,boundary-road
3,8,156.11290929423785,165.53706918790044,9.42415989366259,0.10025500165990398,4.455029980758063,green,boundary-road
4,5,157.59759181759404,158.84998817142048,1.252396353826441,0.5303881272833584,4.593524171345663,green,boundary-road
4,6,157.59759181759404,161.18896413759603,3.5913723200019945,0.08194242877087454,4.899689449372779,green,boundary-road
4,7,157.59759181759404,163.03070968718197,5.433117869587932,0.38180706200609205,4.6678147039842965,green,boundary-road
4,8,157.59759181759404,165.53706918790044,7.939477370306406,0.45381575505923166,4.631810357457726,green,boundary-road
5,6,158.84998817142048,161.18896413759603,2.3389759661755534,0.6123305560542329,4.6344953857311,green,boundary-road
5,7,158.84998817142048,163.03070968718197,4.1807215157614905,0.14858106527726633,4.402620640342617,green,boundary-road
5,8,158.84998817142048,165.53706918790044,6.687081016479965,0.07657237222412672,4.3666162938160475,green,boundary-road
5,9,158.84998817142048,167.1844399781745,8.334451806754032,0.6005361589897049,4.628598187198836,green,boundary-road
6,7,161.18896413759603,163.03070968718197,1.8417455495859372,0.4637494907769666,4.708785918369733,green,boundary-road
6,8,161.18896413759603,165.53706918790044,4.348105050304412,0.5357581838301062,4.672781571843164,green,boundary-road
6,9,161.18896413759603,167.1844399781745,5.995475840578479,0.011794397064528006,4.934763465225952,green,boundary-road
6,10,161.18896413759603,169.09451541556882,7.905551277972791,0.04132245474910423,4.919999436383664,green,boundary-road
