rank,color,size,node_indices,t_min,t_max,diameter_t,global_rank,n_nodes,t_values
1,green,9,0 1 2 3 4 5 6 7 8,150.05352042078488,165.53706918790044,15.483548767115565,1,9,150.053520420785 150.925257612241 153.024693811199 156.112909294238 157.597591817594 158.849988171420 161.188964137596 163.030709687182 165.537069187900
2,green,9,141 142 143 144 145 146 147 148 149,387.22289022238795,399.98511987619486,12.762229653806912,2,9,387.222890222388 388.846128354232 391.456083563638 392.245083339519 393.427743844434 395.582870010994 396.381854222592 397.918736209614 399.985119876195
3,green,5,5 6 7 8 9,158.84998817142048,167.1844399781745,8.334451806754032,3,5,158.849988171420 161.188964137596 163.030709687182 165.537069187900 167.184439978175
4,green,5,6 7 8 9 10,161.18896413759603,169.09451541556882,7.905551277972791,4,5,161.188964137596 163.030709687182 165.537069187900 167.184439978175 169.094515415569
5,green,5,7 8 9 10 11,163.03070968718197,169.9119764794117,6.881266792229724,5,5,163.030709687182 165.537069187900 167.184439978175 169.094515415569 169.911976479412
