t,abs_zeta,hardy_z,bracket_left,bracket_right,bracket_width,iterations,window_index,method,index_in_run
150.92525761224147,5.123451954279372e-15,5.198001945837764e-31,150.92025761224147,150.93025761224146,0.009999999999990905,93,1,hybrid_dtes_guided_hardy_z_bisection,1
153.0246938111989,1.612688191967195e-14,-8.460097342695364e-31,153.01969381119886,153.02969381119885,0.009999999999990905,87,2,hybrid_dtes_guided_hardy_z_bisection,2
157.59759181759406,1.9604891353351778e-16,1.3761156748058968e-31,157.59259181759404,157.60259181759403,0.009999999999990905,93,3,hybrid_dtes_guided_hardy_z_bisection,3
161.18896413759603,8.906963373953825e-15,-4.409275820840839e-31,161.18396413759604,161.19396413759603,0.009999999999990905,92,4,hybrid_dtes_guided_hardy_z_bisection,4
167.1844399781745,3.301191847385485e-14,7.7225141471731715e-31,167.1794399781745,167.1894399781745,0.009999999999990905,90,5,hybrid_dtes_guided_hardy_z_bisection,5
169.09451541556882,2.287993755087277e-15,-4.850291891380346e-31,169.08951541556883,169.09951541556882,0.009999999999990905,93,6,hybrid_dtes_guided_hardy_z_bisection,6
174.75419152336573,9.859242557322613e-15,9.615712780318746e-31,174.7491915233657,174.7591915233657,0.009999999999990905,93,7,hybrid_dtes_guided_hardy_z_bisection,7
178.37740777609997,2.0550259869864676e-14,5.28740020681885e-31,178.37240777609998,178.38240777609997,0.009999999999990905,92,8,hybrid_dtes_guided_hardy_z_bisection,8
182.20707848436646,9.597364413885393e-15,4.785262287735102e-31,182.2020784843665,182.2120784843665,0.009999999999990905,89,9,hybrid_dtes_guided_hardy_z_bisection,9
184.8744678483875,1.3151600835162034e-14,2.8410633710705066e-31,184.8694678483875,184.8794678483875,0.009999999999990905,91,10,hybrid_dtes_guided_hardy_z_bisection,10
187.22892258350186,2.270950581439979e-14,-1.4272608436029734e-31,187.22392258350186,187.23392258350185,0.009999999999990905,91,11,hybrid_dtes_guided_hardy_z_bisection,11
192.0266563607138,3.7259347791947997e-14,-4.899179129067488e-31,192.0216563607138,192.03165636071378,0.009999999999990905,92,12,hybrid_dtes_guided_hardy_z_bisection,12
195.26539667952923,1.5166868969477285e-14,5.062278050901448e-31,195.26039667952926,195.27039667952926,0.009999999999990905,92,13,hybrid_dtes_guided_hardy_z_bisection,13
198.01530967625192,2.3921384440362384e-14,3.2429395342598142e-31,198.0103096762519,198.02030967625188,0.009999999999990905,94,14,hybrid_dtes_guided_hardy_z_bisection,14
202.49359451414054,1.2778477499138043e-14,-5.409636765146371e-31,202.48859451414052,202.4985945141405,0.009999999999990905,93,15,hybrid_dtes_guided_hardy_z_bisection,15
209.57650971685626,6.060208319954375e-16,-7.440189489921886e-31,209.57150971685627,209.58150971685626,0.009999999999990905,93,16,hybrid_dtes_guided_hardy_z_bisection,16
213.34791935971268,2.8795585098692205e-14,-9.142146687008933e-31,213.34291935971265,213.35291935971264,0.009999999999990905,91,17,hybrid_dtes_guided_hardy_z_bisection,17
221.43070555469333,1.4138187341545577e-14,9.905008261976854e-32,221.42570555469337,221.43570555469336,0.009999999999990905,93,18,hybrid_dtes_guided_hardy_z_bisection,18
227.4214442796793,4.470787151473092e-14,-4.19217911481689e-31,227.4164442796793,227.4264442796793,0.009999999999990905,89,19,hybrid_dtes_guided_hardy_z_bisection,19
231.98723525318024,1.2621417624367097e-14,3.2290893261576947e-32,231.98223525318025,231.99223525318024,0.009999999999990905,93,20,hybrid_dtes_guided_hardy_z_bisection,20
239.55547757332764,3.2684086048236335e-14,2.683889418217131e-31,239.5504775733276,239.5604775733276,0.009999999999990905,94,21,hybrid_dtes_guided_hardy_z_bisection,21
242.8232719342226,5.089319456031664e-17,-2.5643610888587534e-31,242.8182719342226,242.82827193422258,0.009999999999990905,94,22,hybrid_dtes_guided_hardy_z_bisection,22
248.10199006014847,2.0015520018125965e-14,3.885781980329615e-31,248.09699006014847,248.10699006014846,0.009999999999990905,92,23,hybrid_dtes_guided_hardy_z_bisection,23
249.5736896447072,2.1272944746576428e-14,6.278864307573615e-31,249.5686896447072,249.5786896447072,0.009999999999990905,89,24,hybrid_dtes_guided_hardy_z_bisection,24
255.30625645491403,2.3951887198517976e-14,-5.0332846817044935e-31,255.30125645491404,255.31125645491403,0.009999999999990905,94,25,hybrid_dtes_guided_hardy_z_bisection,25
260.8050845045969,7.928767248419247e-14,7.108472215830336e-31,260.80008450459684,260.81008450459683,0.009999999999990905,90,26,hybrid_dtes_guided_hardy_z_bisection,26
263.57389390487015,1.0772797521017859e-13,9.039822266314672e-31,263.56889390487015,263.57889390487014,0.009999999999990905,94,27,hybrid_dtes_guided_hardy_z_bisection,27
266.6149737815011,5.1594669579713245e-14,7.327691501857268e-31,266.609973781501,266.619973781501,0.009999999999990905,92,28,hybrid_dtes_guided_hardy_z_bisection,28
269.9704490239976,1.0771886222192723e-14,3.761951321258483e-31,269.9654490239976,269.9754490239976,0.009999999999990905,94,29,hybrid_dtes_guided_hardy_z_bisection,29
271.494055641645,4.467568248168818e-15,9.616220625760433e-31,271.489055641645,271.499055641645,0.009999999999990905,94,30,hybrid_dtes_guided_hardy_z_bisection,30
275.58749264934386,4.1476323347763855e-14,3.6783770947634533e-31,275.58249264934386,275.59249264934385,0.009999999999990905,93,31,hybrid_dtes_guided_hardy_z_bisection,31
278.25074352984194,3.493855730728988e-14,-2.621597491630272e-31,278.245743529842,278.255743529842,0.009999999999990905,92,32,hybrid_dtes_guided_hardy_z_bisection,32
284.83596398090475,8.279032097551131e-14,1.6302235608632134e-31,284.8309639809047,284.8409639809047,0.009999999999990905,92,33,hybrid_dtes_guided_hardy_z_bisection,33
287.9119205014222,4.0698049721196447e-14,-2.453014011632604e-31,287.9069205014222,287.91692050142217,0.009999999999990905,92,34,hybrid_dtes_guided_hardy_z_bisection,34
293.5584341393563,3.968808921576739e-14,8.737994175478871e-31,293.5534341393562,293.5634341393562,0.009999999999990905,93,35,hybrid_dtes_guided_hardy_z_bisection,35
299.8403260537213,6.530096646449628e-14,8.748158891227703e-31,299.83532605372136,299.84532605372135,0.009999999999990905,91,36,hybrid_dtes_guided_hardy_z_bisection,36
302.6967495896069,4.8565326482629864e-14,4.07796463045506e-31,302.69174958960696,302.70174958960695,0.009999999999990905,94,37,hybrid_dtes_guided_hardy_z_bisection,37
304.8643713408573,5.215279419124873e-15,-1.7831197850720076e-32,304.85937134085725,304.86937134085724,0.009999999999990905,92,38,hybrid_dtes_guided_hardy_z_bisection,38
312.4278011806009,1.9539001078203563e-14,-1.5740451598180169e-32,312.4228011806009,312.4328011806009,0.009999999999990905,91,39,hybrid_dtes_guided_hardy_z_bisection,39
313.9852857311589,7.585960856035799e-14,8.123298745048464e-31,313.9802857311589,313.9902857311589,0.009999999999990905,92,40,hybrid_dtes_guided_hardy_z_bisection,40
317.7348059423702,8.310442446010975e-14,4.992644558459307e-31,317.72980594237015,317.73980594237014,0.009999999999990905,94,41,hybrid_dtes_guided_hardy_z_bisection,41
322.14455867248296,5.3809286818611553e-14,-5.7843582532824925e-31,322.13955867248296,322.14955867248295,0.009999999999990905,92,42,hybrid_dtes_guided_hardy_z_bisection,42
323.4669695575121,1.3236868021131e-13,2.5048561806356153e-31,323.461969557512,323.471969557512,0.009999999999990905,92,43,hybrid_dtes_guided_hardy_z_bisection,43
329.9532397282339,7.040002520210741e-14,8.783679401231232e-31,329.94823972823383,329.9582397282338,0.009999999999990905,93,44,hybrid_dtes_guided_hardy_z_bisection,44
333.64537852486984,2.238600230546081e-14,3.468426984210967e-31,333.6403785248699,333.6503785248699,0.009999999999990905,92,45,hybrid_dtes_guided_hardy_z_bisection,45
338.3399928508066,4.126880676454817e-14,5.438035827754419e-31,338.33499285080666,338.34499285080665,0.009999999999990905,94,46,hybrid_dtes_guided_hardy_z_bisection,46
341.04226111104657,1.8839515345766268e-14,8.362635900496842e-31,341.0372611110465,341.0472611110465,0.009999999999990905,93,47,hybrid_dtes_guided_hardy_z_bisection,47
346.34787056600993,4.976902895742376e-14,-1.5939676157295047e-31,346.34287056601,346.35287056601,0.009999999999990905,94,48,hybrid_dtes_guided_hardy_z_bisection,48
349.31626087069617,7.638038708421182e-14,9.486990912116612e-31,349.3112608706962,349.32126087069616,0.009999999999990905,90,49,hybrid_dtes_guided_hardy_z_bisection,49
353.4889004887188,4.335965438965381e-14,8.531820811750683e-31,353.48390048871886,353.49390048871885,0.009999999999990905,93,50,hybrid_dtes_guided_hardy_z_bisection,50
357.95268510163226,2.5234126953168258e-14,-2.513269927691148e-31,357.94768510163226,357.95768510163225,0.009999999999990905,93,51,hybrid_dtes_guided_hardy_z_bisection,51
359.74375495311443,7.706225482019938e-14,2.196232584248686e-31,359.7387549531145,359.7487549531145,0.009999999999990905,94,52,hybrid_dtes_guided_hardy_z_bisection,52
364.736024114089,2.4002658840491444e-14,4.379754925962492e-31,364.731024114089,364.741024114089,0.009999999999990905,94,53,hybrid_dtes_guided_hardy_z_bisection,53
366.2127102883313,6.256889951749375e-14,-8.276181608942896e-31,366.2077102883313,366.2177102883313,0.009999999999990905,92,54,hybrid_dtes_guided_hardy_z_bisection,54
368.96843809573437,4.017539966043131e-14,7.986741497226528e-31,368.96343809573443,368.9734380957344,0.009999999999990905,90,55,hybrid_dtes_guided_hardy_z_bisection,55
373.86487391090856,2.595288046849148e-14,4.445638689472729e-31,373.8598739109086,373.8698739109086,0.009999999999990905,91,56,hybrid_dtes_guided_hardy_z_bisection,56
376.32409223066804,1.8253919228609e-14,4.978527617554964e-31,376.31909223066805,376.32909223066804,0.009999999999990905,92,57,hybrid_dtes_guided_hardy_z_bisection,57
379.87297534653237,1.1032279395227555e-13,-6.129856825921883e-32,379.8679753465324,379.87797534653237,0.009999999999990905,94,58,hybrid_dtes_guided_hardy_z_bisection,58
384.95611681486366,5.729983046038153e-14,-5.146863455384656e-31,384.95111681486367,384.96111681486366,0.009999999999990905,93,59,hybrid_dtes_guided_hardy_z_bisection,59
387.222890222388,6.77318367873288e-14,-3.392181769815056e-31,387.21789022238795,387.22789022238794,0.009999999999990905,90,60,hybrid_dtes_guided_hardy_z_bisection,60
392.2450833395191,6.4236970827397245e-15,-9.04620592733636e-31,392.24008333951906,392.25008333951905,0.009999999999990905,93,61,hybrid_dtes_guided_hardy_z_bisection,61
397.9187362096142,2.3233320181072483e-13,-5.733515282217537e-31,397.9137362096143,397.9237362096143,0.009999999999990905,94,62,hybrid_dtes_guided_hardy_z_bisection,62
402.86191776388614,5.641806851533005e-14,-6.382211839013673e-31,402.85691776388614,402.86691776388614,0.009999999999990905,93,63,hybrid_dtes_guided_hardy_z_bisection,63
404.236441800208,1.002640038731408e-14,-2.80731696961263e-31,404.231441800208,404.241441800208,0.009999999999990905,91,64,hybrid_dtes_guided_hardy_z_bisection,64
408.9472455023511,5.689459925778206e-14,-9.253990540336168e-31,408.94224550235117,408.95224550235116,0.009999999999990905,94,65,hybrid_dtes_guided_hardy_z_bisection,65
413.26273607018504,2.2007070620345372e-14,3.3456678812266825e-31,413.25773607018505,413.26773607018504,0.009999999999990905,94,66,hybrid_dtes_guided_hardy_z_bisection,66
415.4552149962946,2.1898577890975396e-15,-3.7172928282462497e-32,415.45021499629456,415.46021499629455,0.009999999999990905,92,67,hybrid_dtes_guided_hardy_z_bisection,67
419.8613648181523,4.9506416417282444e-14,-8.189902748875326e-31,419.8563648181523,419.8663648181523,0.009999999999990905,91,68,hybrid_dtes_guided_hardy_z_bisection,68
423.7165796274818,8.099920940797286e-14,9.936968971364531e-31,423.7115796274818,423.7215796274818,0.009999999999990905,94,69,hybrid_dtes_guided_hardy_z_bisection,69
427.2088250840746,7.933274626753087e-14,-6.752785272630221e-31,427.20382508407454,427.21382508407453,0.009999999999990905,92,70,hybrid_dtes_guided_hardy_z_bisection,70
431.3013069307036,1.2536099122598676e-14,3.6437858857049164e-31,431.2963069307036,431.3063069307036,0.009999999999990905,92,71,hybrid_dtes_guided_hardy_z_bisection,71
433.88921848092724,9.877715097028768e-14,-7.126109245728292e-31,433.8842184809272,433.8942184809272,0.009999999999990905,94,72,hybrid_dtes_guided_hardy_z_bisection,72
439.91844221437066,1.2586943176453343e-14,4.889666713687777e-31,439.91344221437066,439.92344221437065,0.009999999999990905,94,73,hybrid_dtes_guided_hardy_z_bisection,73
442.90454630260945,2.1338670584216734e-15,5.098060608705925e-31,442.89954630260945,442.90954630260944,0.009999999999990905,91,74,hybrid_dtes_guided_hardy_z_bisection,74
446.8606226964295,5.262386061402504e-14,-6.13761455601505e-31,446.8556226964296,446.86562269642957,0.009999999999990905,90,75,hybrid_dtes_guided_hardy_z_bisection,75
