rank,color,size,node_indices,t_min,t_max,diameter_t,t_values
5,blue,4,37 38 39 41,219.06759634902136,224.98332466958226,5.915728320560902,219.067596349021 220.714918839314 221.430705554693 224.983324669582
6,blue,4,58 60 61 62,255.30625645491403,260.80508450459683,5.4988280496828,255.306256454914 258.610439491531 259.874406989678 260.805084504597
7,blue,4,61 62 63 64,259.87440698967805,265.55785183887633,5.683444849198281,259.874406989678 260.805084504597 263.573893904870 265.557851838876
8,blue,4,62 63 64 65,260.80508450459683,266.614973781501,5.809889276904187,260.805084504597 263.573893904870 265.557851838876 266.614973781501
9,blue,4,91 92 93 94,310.10946314670184,313.9852857311589,3.875822584457069,310.109463146702 311.165141530356 312.427801180601 313.985285731159
10,blue,4,94 95 96 97,313.9852857311589,318.85310425631656,4.867818525157645,313.985285731159 315.475616089476 317.734805942370 318.853104256317
11,blue,3,10 11 12,169.09451541556882,173.41153651959155,4.317021104022729,169.094515415569 169.911976479412 173.411536519592
12,blue,3,11 12 13,169.9119764794117,174.7541915233657,4.842215043954013,169.911976479412 173.411536519592 174.754191523366
13,blue,3,13 14 16,174.7541915233657,179.91648402025697,5.1622924968912685,174.754191523366 176.441434297710 179.916484020257
14,blue,3,13 15 16,174.7541915233657,179.91648402025697,5.1622924968912685,174.754191523366 178.377407776100 179.916484020257
15,blue,3,15 16 17,178.37740777609997,182.2070784843665,3.8296707082665193,178.377407776100 179.916484020257 182.207078484366
16,blue,3,18 20 21,184.8744678483875,189.41615865601693,4.541690807629436,184.874467848387 187.228922583502 189.416158656017
17,blue,3,19 20 21,185.5987836777075,189.41615865601693,3.817374978309431,185.598783677708 187.228922583502 189.416158656017
18,blue,3,22 23 25,192.0266563607138,196.87648184095832,4.849825480244533,192.026656360714 193.079726603846 196.876481840958
19,blue,3,23 24 25,193.0797266038457,196.87648184095832,3.7967552371126203,193.079726603846 195.265396679529 196.876481840958
20,blue,3,24 25 27,195.26539667952926,201.2647519437038,5.99935526417454,195.265396679529 196.876481840958 201.264751943704
1,violet,2,0 4,150.05352042078488,157.59759181759404,7.544071396809159,150.053520420785 157.597591817594
2,violet,2,0 178,150.05352042078488,442.90454630260945,292.85102588182457,150.053520420785 442.904546302609
3,violet,2,1 4,150.92525761224147,157.59759181759404,6.67233420535257,150.925257612241 157.597591817594
4,violet,2,1 179,150.92525761224147,444.31933627755916,293.3940786653177,150.925257612241 444.319336277559
5,violet,2,2 6,153.02469381119886,161.18896413759603,8.164270326397173,153.024693811199 161.188964137596
6,violet,2,3 182,156.11290929423785,449.14854568502335,293.0356363907855,156.112909294238 449.148545685023
7,violet,2,5 8,158.84998817142048,165.53706918790044,6.687081016479965,158.849988171420 165.537069187900
8,violet,2,6 10,161.18896413759603,169.09451541556882,7.905551277972791,161.188964137596 169.094515415569
9,violet,2,7 11,163.03070968718197,169.9119764794117,6.881266792229724,163.030709687182 169.911976479412
10,violet,2,8 12,165.53706918790044,173.41153651959155,7.874467331691108,165.537069187900 173.411536519592
11,violet,2,9 12,167.1844399781745,173.41153651959155,6.2270965414170405,167.184439978175 173.411536519592
12,violet,2,9 13,167.1844399781745,174.7541915233657,7.569751545191195,167.184439978175 174.754191523366
13,violet,2,10 14,169.09451541556882,176.44143429771043,7.346918882141608,169.094515415569 176.441434297710
14,violet,2,11 15,169.9119764794117,178.37740777609997,8.46543129668828,169.911976479412 178.377407776100
15,violet,2,12 16,173.41153651959155,179.91648402025697,6.504947500665423,173.411536519592 179.916484020257
16,violet,2,14 18,176.44143429771043,184.8744678483875,8.433033550677067,176.441434297710 184.874467848387
17,violet,2,15 18,178.37740777609997,184.8744678483875,6.497060072287525,178.377407776100 184.874467848387
18,violet,2,16 20,179.91648402025697,187.22892258350186,7.312438563244882,179.916484020257 187.228922583502
19,violet,2,17 21,182.2070784843665,189.41615865601693,7.209080171650442,182.207078484366 189.416158656017
20,violet,2,18 22,184.8744678483875,192.0266563607138,7.1521885123262905,184.874467848387 192.026656360714
