u,v,t_u,t_v,distance,raw_distance,wrap_edge,score_diff,score_mean,color,color_reason
0,1,150.05352042078488,150.92525761224147,0.8717371914565888,0.8717371914565888,False,1.2152218013086347,3.7604317933261555,blue,local-road
0,182,150.05352042078488,449.14854568502335,0.9049747357615274,299.0950252642385,True,1.3489251289725908,3.827283457158134,blue,local-road
0,181,150.05352042078488,447.44170419449324,2.611816226291637,297.38818377370836,True,1.0532319917421105,3.6794368885428934,blue,local-road
0,2,150.05352042078488,153.02469381119886,2.9711733904139805,2.9711733904139805,False,1.5374233788615004,3.9215325821025884,blue,local-road
0,180,150.05352042078488,446.8606226964296,3.192897724355305,296.8071022756447,True,1.8194293424994235,4.06253556392155,blue,local-road
0,179,150.05352042078488,444.31933627755916,5.734184143225718,294.2658158567743,True,1.114411219993618,3.710026502668647,blue,local-road
0,3,150.05352042078488,156.11290929423785,6.059388873452974,6.059388873452974,False,1.352336588916176,3.8289891871299266,blue,local-road
0,178,150.05352042078488,442.90454630260945,7.148974118175431,292.85102588182457,True,1.7517264047271808,4.028684095035429,violet,cyclic-bridge/gap-road
1,182,150.92525761224147,449.14854568502335,1.7767119272181162,298.2232880727819,True,0.1337033276639561,4.434894357812452,red,energy-similar
1,2,150.92525761224147,153.02469381119886,2.0994361989573918,2.0994361989573918,False,0.3222015775528657,4.529143482756906,blue,local-road
1,181,150.92525761224147,447.44170419449324,3.483553417748226,296.5164465822518,True,0.1619898095665242,4.287047789197211,red,energy-similar
1,180,150.92525761224147,446.8606226964296,4.064634915811894,295.9353650841881,True,0.6042075411907888,4.6701464645758675,blue,local-road
1,3,150.92525761224147,156.11290929423785,5.187651681996385,5.187651681996385,False,0.13711478760754137,4.436600087784244,red,energy-similar
1,179,150.92525761224147,444.31933627755916,6.605921334682307,293.3940786653177,True,0.10081058131501663,4.317637403322965,violet,cyclic-bridge/gap-road
1,4,150.92525761224147,157.59759181759404,6.67233420535257,6.67233420535257,False,0.49067554100686905,4.613380464483908,violet,cyclic-bridge/gap-road
